zoneID,zone_name,category2,category_label,niche,reference_area_km2,reference_pixels,n_selected_features,top1_importance_share,top5_importance_share,importance_shannon,effective_number_of_features,selection_roles,selected_for_detail
9,Needleleaf and deciduous broadleaf mixed forests in temperate zone,forest,forest,soil,18681.3387065463,30540,9,0.214444390931385,0.708125621120201,2.11814179201411,8.31567087601764,"",FALSE
10,Needleleaf forests on mountains in subtropical and tropical zones,forest,forest,soil,109739.960164066,147373,9,0.150854765726678,0.662477208218249,2.16516068243129,8.71600231278143,"",FALSE
14,Microphyllous deciduous woodlands in temperate zone,forest,forest,soil,20908.5541959762,33001,9,0.155412267321546,0.65719767798124,2.16628508480507,8.72580811827422,"",FALSE
26,Bamboo forests and scrubs in subtropical and tropical zones,forest,forest,soil,30951.3022898633,40966,9,0.19372564971856,0.799906613390298,2.04111039356086,7.69915354472789,"",FALSE
28,Broadleaf deciduous forests in subtropical zone,forest,forest,soil,34056.2147908729,46263,9,0.17721086491311,0.677396708096138,2.15510789830684,8.62882116393559,"",FALSE
30,Needleleaf forests in subtropical zone,forest,forest,soil,440947.400872453,580358,9,0.198047543583703,0.718006717908835,2.10647934507631,8.21925313191982,category largest observed area; category profile medoid,TRUE
34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",forest,forest,soil,3904.5141748997,5163,9,0.168524904720647,0.716751468944418,2.12826690160861,8.40029564958123,category smallest observed area; global smallest observed area,TRUE
36,Broadleaf evergreen and deciduous mixed forests in subtropical zone,forest,forest,soil,16932.3871491317,22763,9,0.146895730081641,0.658324953029542,2.16516854895815,8.71607087771746,"",FALSE
37,Needleleaf forests in temperate zone,forest,forest,soil,135761.296395213,193911,9,0.174954042711631,0.673714844501328,2.14561637635358,8.54730797250287,"",FALSE
39,Sclerophyllous broadleaf evergreen forests in subtropical zone,forest,forest,soil,16428.3011178075,22033,9,0.149732121396159,0.66186887561487,2.16255647454776,8.69333356072851,"",FALSE
49,Broadleaf evergreen forests in subtropical zone,forest,forest,soil,121050.734801791,158047,9,0.192658353878185,0.788046370875322,2.05283152477437,7.78992727984584,"",FALSE
52,Tropical rain forests,forest,forest,soil,18691.6856141285,24103,9,0.297399417065958,0.802461348924216,1.96953904459493,7.1673718879565,"",FALSE
55,Tropical monsoon forests,forest,forest,soil,5167.1571874639,6461,9,0.231433280969995,0.793075156512141,2.0127582463441,7.48393143139914,"",FALSE
5,Grass and forb meadows,grassland_meadow_steppe,grassland meadow steppe,soil,118048.393013657,191879,9,0.216888654687644,0.70875625002011,2.10410996368192,8.19980163957528,"",FALSE
11,Temperate grass and forb meadow steppes,grassland_meadow_steppe,grassland meadow steppe,soil,88744.7461983382,147426,9,0.224809952921789,0.697828506587193,2.10428995673661,8.20127767975477,"",FALSE
13,Temperate tufted grass steppes,grassland_meadow_steppe,grassland meadow steppe,soil,392778.754746233,620911,9,0.170204436055101,0.671242625059333,2.15439110375975,8.62263828816804,"",FALSE
15,Grass and forb halophytic meadows,grassland_meadow_steppe,grassland meadow steppe,soil,155782.486712609,242556,9,0.213304595846213,0.739812239449235,2.10253501491887,8.18689753644378,"",FALSE
16,Kobresia spp. and forb high-cold meadows,grassland_meadow_steppe,grassland meadow steppe,soil,653919.837866197,917167,9,0.253498793852038,0.784852813108874,2.04462782507748,7.72628247416245,category largest observed area; global largest observed area,TRUE
31,Grass and Carex spp. high-cold steppes,grassland_meadow_steppe,grassland meadow steppe,soil,602782.267595032,848105,9,0.255495197665779,0.751660899135337,2.06575324360418,7.89123968538925,global largest observed area,TRUE
40,Subtropical and tropical grasslands,grassland_meadow_steppe,grassland meadow steppe,soil,262130.658259238,341246,9,0.179690651616494,0.725661395999378,2.1183430922121,8.31734499070555,"",FALSE
41,Temperate grasslands,grassland_meadow_steppe,grassland meadow steppe,soil,62655.3585233834,91481,9,0.173937302736995,0.677493575131096,2.14339159260498,8.52831319809881,category profile medoid; category smallest observed area,TRUE
7,Deciduous scrubs in temperate zone,scrub,scrub,soil,145723.607727903,221602,9,0.178857932748959,0.674115535577564,2.15239674864689,8.60545882208389,category profile medoid,TRUE
18,Subalpine broadleaf deciduous scrubs,scrub,scrub,soil,80420.5115528885,113046,9,0.214437897222363,0.684330019287755,2.12694185622533,8.38917224774618,"",FALSE
44,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones,scrub,scrub,soil,441250.860529288,576554,9,0.225467301075273,0.693768964637677,2.11206537623079,8.26529461082693,category largest observed area,TRUE
45,Subalpine needleleaf evergreen scrubs,scrub,scrub,soil,12167.9589990281,16418,9,0.188240807968922,0.754102878325289,2.0829562390218,8.02816704906607,"",FALSE
46,Subalpine sclerophyllous broadleaf evergreen scrubs,scrub,scrub,soil,101463.317627609,136995,9,0.1512325746124,0.640477941434765,2.17720987425401,8.82165835323927,"",FALSE
50,Evergreen xeromorphic succulent thorny scrubs in subtropical and tropical zones,scrub,scrub,soil,1954.02259297092,2515,9,0.144066329480283,0.668898602217758,2.16453617743084,8.7105608250482,category smallest observed area; global smallest observed area,TRUE
4,"Grass, Carex and forb swamp meadows",wetland,wetland,soil,53482.0093491042,92312,9,0.196557255421987,0.733279554093292,2.10057937175246,8.17090253158128,category profile medoid,TRUE
6,Cold-temperate and temperate marshes,wetland,wetland,soil,53583.994126283,92003,9,0.203730982377771,0.681007767971303,2.14024799003947,8.50154566613453,category largest observed area,TRUE
43,High-cold marshes,wetland,wetland,soil,4041.58735428002,5708,9,0.240809698136061,0.761168483418122,2.02723461711133,7.59305958159537,global smallest observed area,TRUE
48,Subtropical and tropical marshes,wetland,wetland,soil,1797.64026241183,2400,9,0.203397641263106,0.712333345042955,2.12279278610471,8.35443709296258,category smallest observed area; global smallest observed area,TRUE
54,Tropical mangroves,wetland,wetland,soil,9405.78073086598,11883,9,0.21988573533792,0.785704466948006,2.02537919878438,7.57898434145722,"",FALSE
