method,method_label,original_zone,n_sample,prediction_valid_share,exact_share,reference_dual_valid_share,predicted_valid_but_reference_dual_NA_share,exact_when_reference_dual_valid,original_zone_top3_share,original_zone_top5_share
rf_var,Plain RF,26,305,1,0.59344262295082,1,0,0.59344262295082,0.836065573770492,0.862295081967213
rf_var,Plain RF,27,6886,0.990996224223061,0.743552168815944,0.989544002323555,0.00145222189950624,0.744643381273848,0.878338714411506,0.91150572351042
rf_var,Plain RF,28,387,0.994832041343669,0.467532467532468,0.994832041343669,0,0.467532467532468,0.768831168831169,0.844155844155844
rf_var,Plain RF,29,1264,0.996835443037975,0.79047619047619,0.994462025316456,0.00237341772151899,0.79236276849642,0.928400954653938,0.953858392999205
rf_var,Plain RF,30,4587,0.993677785044692,0.438130759104871,0.99345977763244,0.000218007412252017,0.438226903664692,0.790871187184551,0.901689708141321
rf_var,Plain RF,31,6792,0.992785630153121,0.706065549458698,0.99263839811543,0.000147232037691402,0.706170275882528,0.927914565410857,0.953129635123109
rf_var,Plain RF,32,482,0.973029045643153,0.684434968017058,0.973029045643153,0,0.684434968017058,0.893390191897655,0.929637526652452
rf_var,Plain RF,33,3119,0.996152613016993,0.658513035082073,0.996152613016993,0,0.658513035082073,0.871902156420985,0.914708722240103
rf_var,Plain RF,34,43,1,0.837209302325582,1,0,0.837209302325582,0.906976744186047,0.953488372093023
rf_var,Plain RF,35,255,0.996078431372549,0.846456692913386,0.996078431372549,0,0.846456692913386,0.948818897637795,0.948818897637795
rf_var,Plain RF,36,180,0.994444444444444,0.720670391061453,0.994444444444444,0,0.720670391061453,0.949720670391061,0.972067039106145
rf_var,Plain RF,37,1541,0.987021414665801,0.728468113083498,0.985074626865672,0.00194678780012979,0.729907773386034,0.83399209486166,0.891304347826087
rf_var,Plain RF,38,241,0.995850622406639,0.929166666666667,0.995850622406639,0,0.929166666666667,0.970833333333333,0.975
rf_var,Plain RF,39,173,0.988439306358381,0.619883040935673,0.988439306358381,0,0.619883040935673,0.906432748538012,0.929824561403509
rf_var,Plain RF,40,2780,0.995323741007194,0.372967112396097,0.993525179856115,0.00179856115107914,0.373642288196959,0.769007965242578,0.886676321506155
rf_var,Plain RF,41,761,0.996057818659658,0.538258575197889,0.996057818659658,0,0.538258575197889,0.846965699208443,0.868073878627968
rf_var,Plain RF,42,1241,0.988718775181305,0.769356153219234,0.988718775181305,0,0.769356153219234,0.965770171149144,0.973920130399348
rf_var,Plain RF,43,53,1,0.943396226415094,1,0,0.943396226415094,0.943396226415094,0.943396226415094
rf_var,Plain RF,44,4505,0.985127635960044,0.33618747183416,0.984017758046615,0.00110987791342952,0.336566659147304,0.733363410782766,0.873223550642905
rf_var,Plain RF,45,137,1,0.72992700729927,1,0,0.72992700729927,0.854014598540146,0.861313868613139
rf_var,Plain RF,46,1135,0.99647577092511,0.468611847922193,0.993832599118943,0.0026431718061674,0.469858156028369,0.888297872340426,0.937943262411348
rf_var,Plain RF,47,2865,0.986038394415358,0.568849557522124,0.98499127399651,0.00104712041884817,0.569454287739192,0.825655563430191,0.886959603118356
rf_var,Plain RF,48,20,0.75,0.866666666666667,0.75,0,0.866666666666667,0.866666666666667,0.933333333333333
rf_var,Plain RF,49,1285,0.997665369649805,0.437597503900156,0.996887159533074,0.000778210116731518,0.437939110070258,0.838407494145199,0.931303669008587
rf_var,Plain RF,50,26,1,0.923076923076923,1,0,0.923076923076923,1,1
rf_var,Plain RF,52,182,0.983516483516483,0.843575418994413,0.950549450549451,0.032967032967033,0.872832369942197,0.988439306358381,0.988439306358381
rf_var,Plain RF,53,558,0.948028673835126,0.780718336483932,0.937275985663083,0.010752688172043,0.789674952198853,0.923518164435946,0.940726577437859
rf_var,Plain RF,54,96,0.947916666666667,0.956043956043956,0.9375,0.0104166666666667,0.966666666666667,0.977777777777778,0.977777777777778
rf_var,Plain RF,55,40,1,0.825,1,0,0.825,0.975,0.975
