zoneID,niche,importance_spearman,importance_pearson,top5_overlap_n,top5_union_n,top5_jaccard,selected_overlap_n,selected_union_n,selected_jaccard,zone_name,detailed_category,category2,zone_color,reference_area_km2,reference_pixels,category_label,global_area_rank_largest,global_area_rank_smallest,category_area_rank_largest,category_area_rank_smallest
26,soil,0.966666666666667,0.992422230581779,5,5,1,9,9,1,Bamboo forests and scrubs in subtropical and tropical zones,bamboo,forest,#00A878,30951.3022898633,40966,forest,36,18,8,8
28,soil,1,0.997448073374655,5,5,1,9,9,1,Broadleaf deciduous forests in subtropical zone,subtropical_deciduous_forest,forest,#52B788,34056.2147908729,46263,forest,35,19,7,9
30,soil,1,0.996821735268463,5,5,1,9,9,1,Needleleaf forests in subtropical zone,subtropical_needleleaf_forest,forest,#1B9AAA,440947.400872453,580358,forest,8,46,1,15
34,soil,0.966666666666667,0.982683543140857,5,5,1,9,9,1,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",subtropical_mixed_forest,forest,#2A9D8F,3904.5141748997,5163,forest,50,4,15,1
36,soil,1,0.995200345774486,5,5,1,9,9,1,Broadleaf evergreen and deciduous mixed forests in subtropical zone,subtropical_mixed_broadleaf_forest,forest,#40916C,16932.3871491317,22763,forest,43,11,12,4
37,soil,0.966666666666667,0.997363431515249,5,5,1,9,9,1,Needleleaf forests in temperate zone,temperate_needleleaf_forest,forest,#0B3D2E,135761.296395213,193911,forest,21,33,4,12
39,soil,0.983333333333333,0.973966245721001,5,5,1,9,9,1,Sclerophyllous broadleaf evergreen forests in subtropical zone,sclerophyll_broadleaf_forest,forest,#118AB2,16428.3011178075,22033,forest,44,10,13,3
49,soil,0.983333333333333,0.996111933379393,5,5,1,9,9,1,Broadleaf evergreen forests in subtropical zone,subtropical_evergreen_forest,forest,#006400,121050.734801791,158047,forest,22,32,5,11
52,soil,0.983333333333333,0.994589356825983,5,5,1,9,9,1,Tropical rain forests,tropical_rain_forest,forest,#00C853,18691.6856141285,24103,forest,41,13,10,6
55,soil,1,0.997643298474837,5,5,1,9,9,1,Tropical monsoon forests,tropical_monsoon_forest,forest,#00A676,5167.1571874639,6461,forest,48,6,14,2
5,soil,0.966666666666667,0.99587740517681,4,6,0.666666666666667,9,9,1,Grass and forb meadows,meadow,grassland_meadow_steppe,#B8DE29,118048.393013657,191879,grassland meadow steppe,23,31,6,3
11,soil,0.95,0.996805090637252,4,6,0.666666666666667,9,9,1,Temperate grass and forb meadow steppes,meadow_steppe,grassland_meadow_steppe,#D9ED92,88744.7461983382,147426,grassland meadow steppe,28,26,7,2
13,soil,0.95,0.990998141709194,5,5,1,9,9,1,Temperate tufted grass steppes,tufted_grass_steppe,grassland_meadow_steppe,#DDA15E,392778.754746233,620911,grassland meadow steppe,9,45,3,6
