category2,category_label,niche,feature,feature_group,climate_period,n_zones,mean_importance_share,sd_importance_share,median_importance_share,selected_zones,top5_zones,top10_zones,se_importance_share,selection_frequency,top5_frequency,top10_frequency,category_variable_rank,inference_scope,common_factor
grassland_meadow_steppe,grassland meadow steppe,soil,T_SILT,Texture,,8,0.0754847336798679,0.0427371259412612,0.0774856770965732,7,4,7,0.0151098557807447,0.875,0.5,0.875,7,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,soil,T_CEC_SOIL,Nutrient retention and base status,,8,0.0752462778036547,0.0550454709201164,0.0779112198503218,6,3,6,0.0194615128806106,0.75,0.375,0.75,8,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,soil,T_BS,Nutrient retention and base status,,8,0.0672648074219438,0.0783817897326403,0.032129840512873,4,3,4,0.027712147520744,0.5,0.375,0.5,9,within-category pattern,TRUE
no_vegetation,no vegetation,soil,T_OC,Organic carbon,,1,0.244693229434255,,0.244693229434255,1,1,1,,1,1,1,1,descriptive only,FALSE
no_vegetation,no vegetation,soil,T_SILT,Texture,,1,0.15806672262853,,0.15806672262853,1,1,1,,1,1,1,2,descriptive only,FALSE
no_vegetation,no vegetation,soil,T_REF_BULK_DENSITY,Bulk density,,1,0.113786685116651,,0.113786685116651,1,1,1,,1,1,1,3,descriptive only,FALSE
no_vegetation,no vegetation,soil,T_TEB,Nutrient retention and base status,,1,0.110365914322776,,0.110365914322776,1,1,1,,1,1,1,4,descriptive only,FALSE
no_vegetation,no vegetation,soil,T_SAND,Texture,,1,0.102946308073648,,0.102946308073648,1,1,1,,1,1,1,5,descriptive only,FALSE
no_vegetation,no vegetation,soil,T_GRAVEL,Coarse fragments,,1,0.0868468747658458,,0.0868468747658458,1,0,1,,1,0,1,6,descriptive only,FALSE
scrub,scrub,soil,T_CEC_CLAY,Nutrient retention and base status,,6,0.130448033270285,0.0618582296290968,0.114253994518555,6,3,6,0.0252535164971998,1,0.5,1,1,within-category pattern,TRUE
scrub,scrub,soil,T_CLAY,Texture,,6,0.123268718352523,0.0397404313462038,0.118699359536546,6,3,6,0.0162239631593842,1,0.5,1,2,within-category pattern,TRUE
scrub,scrub,soil,T_OC,Organic carbon,,6,0.119901914096447,0.0766123406233851,0.120123910941925,5,4,5,0.0312768570879321,0.833333333333333,0.666666666666667,0.833333333333333,3,within-category pattern,TRUE
scrub,scrub,soil,T_BS,Nutrient retention and base status,,6,0.108698356549257,0.0574267468049042,0.122817646168722,5,5,5,0.0234443712100033,0.833333333333333,0.833333333333333,0.833333333333333,4,within-category pattern,TRUE
scrub,scrub,soil,T_CEC_SOIL,Nutrient retention and base status,,6,0.0969043868810507,0.054050606534482,0.108780605357818,5,4,5,0.0220660677162372,0.833333333333333,0.666666666666667,0.833333333333333,5,within-category pattern,TRUE
scrub,scrub,soil,T_TEB,Nutrient retention and base status,,6,0.0918487828925391,0.048582469172621,0.105373243016227,5,3,5,0.0198337099862359,0.833333333333333,0.5,0.833333333333333,6,within-category pattern,TRUE
scrub,scrub,soil,T_REF_BULK_DENSITY,Bulk density,,6,0.088391635084573,0.0490309976942235,0.098876331804405,5,3,5,0.0200168209884043,0.833333333333333,0.5,0.833333333333333,7,within-category pattern,TRUE
scrub,scrub,soil,T_PH_H2O,Soil reaction,,6,0.0663764550697367,0.061674478069466,0.0636699806705006,4,2,4,0.0251785002371105,0.666666666666667,0.333333333333333,0.666666666666667,9,within-category pattern,TRUE
scrub,scrub,soil,T_GRAVEL,Coarse fragments,,6,0.0534660518079652,0.0458569782294506,0.0583909579250949,4,2,4,0.0187210329680118,0.666666666666667,0.333333333333333,0.666666666666667,10,within-category pattern,TRUE
wetland,wetland,soil,T_OC,Organic carbon,,5,0.156254709082336,0.0577850097674972,0.148539913770937,5,4,5,0.0258422419841226,1,0.8,1,1,within-category pattern,TRUE
wetland,wetland,soil,T_CEC_CLAY,Nutrient retention and base status,,5,0.149744992930844,0.0582448594438853,0.128976433371297,5,5,5,0.0260478930112896,1,1,1,2,within-category pattern,TRUE
wetland,wetland,soil,T_CEC_SOIL,Nutrient retention and base status,,5,0.149383243559669,0.0486203116814443,0.145629278245033,5,4,5,0.0217436644013873,1,0.8,1,3,within-category pattern,TRUE
wetland,wetland,soil,T_GRAVEL,Coarse fragments,,5,0.1380491826847,0.0711964275991452,0.164302438168756,5,3,5,0.0318400103733661,1,0.6,1,4,within-category pattern,TRUE
wetland,wetland,soil,T_SAND,Texture,,5,0.0830424459299972,0.0251518630754634,0.0795121145168572,5,2,5,0.0112482551195006,1,0.4,1,5,within-category pattern,TRUE
wetland,wetland,soil,T_TEB,Nutrient retention and base status,,5,0.0723822088875449,0.0472281429020083,0.0807395740802977,4,3,4,0.0211210675959929,0.8,0.6,0.8,6,within-category pattern,TRUE
wetland,wetland,soil,T_BS,Nutrient retention and base status,,5,0.0700570937044067,0.0491880641470689,0.0601856181790895,4,2,4,0.0219975710228933,0.8,0.4,0.8,7,within-category pattern,TRUE
