method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,recall,specificity,precision,f1,tss
optimized_mf,43,5692,26733,4805,12366206,21928,887,0.998159164087022,0.844167252283907,0.998229919049955,0.179740395765533,0.296376252891288,0.842397171333863
optimized_mf,44,566191,308110,161194,11680719,146916,404997,0.955468714826237,0.284698979672937,0.987578581855121,0.523170296322742,0.368737997554618,0.272277561528059
optimized_mf,45,16405,70841,10646,12317226,60195,5759,0.99467847943,0.648948491313624,0.995136709012322,0.150280204966051,0.244045572289847,0.644085200325946
optimized_mf,46,136482,177210,62823,12142957,114387,73659,0.984827445536189,0.460302457466919,0.990667880415202,0.354511596411038,0.40053938257909,0.450970337882121
optimized_mf,47,354447,366146,193541,11866774,172605,160906,0.973090553312593,0.546036501931177,0.98566329708534,0.528589688266429,0.537171468498861,0.531699799016517
optimized_mf,48,1624,8238,1338,12385302,6900,286,0.99942019518428,0.823891625615764,0.999443198230629,0.162418062636562,0.271344554857027,0.823334823846393
optimized_mf,49,157753,208988,69168,12096253,139820,88585,0.981571066109852,0.438457588762179,0.988573131265235,0.330966371274906,0.377203530556987,0.427030720027414
optimized_mf,50,2292,17767,1792,12375559,15975,500,0.998670709109519,0.781849912739965,0.99871081336661,0.100861147070411,0.178672914901042,0.780560726106575
optimized_mf,52,23635,44953,19711,12344949,25242,3924,0.997646731525842,0.833975037021367,0.997959449453933,0.438480190421106,0.574765265060944,0.8319344864753
optimized_mf,53,64489,116769,51258,12263826,65511,13231,0.993646675368849,0.79483322737211,0.994686575604187,0.438969246974796,0.565580553685906,0.789519802976297
optimized_mf,54,11548,22310,10571,12370539,11739,977,0.998974005282953,0.915396605472809,0.999051951506823,0.473823397579561,0.624431448992852,0.914448556979632
optimized_mf,55,6383,34846,5438,12358035,29408,945,0.99755095803346,0.851950493498355,0.997625983021678,0.156058084141652,0.263794901646899,0.849576476520033
optimized_rf,1,15263,29222,10314,12359655,18908,4949,0.998075089968182,0.675751818122257,0.998472520598716,0.352953254397372,0.463706867483421,0.674224338720972
optimized_rf,2,284043,274552,203185,12038416,71367,80858,0.9877176749133,0.715331833560412,0.994106665660318,0.740060170750896,0.727485924507022,0.709438499220729
optimized_rf,3,552373,548625,344402,11637230,204223,207971,0.966741989116194,0.62349535549348,0.982753552287882,0.627754841649579,0.625617848533785,0.606248907781362
optimized_rf,4,91405,66064,37907,12274264,28157,53498,0.993411638988638,0.414714731141622,0.997711263498461,0.573792080406878,0.481453492433431,0.412425994640083
optimized_rf,5,190463,126709,61335,12137989,65374,129128,0.984306541014857,0.322031050650258,0.994642952110824,0.484061905626278,0.386761757027733,0.316674002761082
optimized_rf,6,90294,83881,52924,12272575,30957,37370,0.99448701313057,0.586129753914989,0.997483893243013,0.63094145277238,0.607710635854744,0.583613647158002
