method,model_family,model_version,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
plain_mf,multi-Forest,original,20,379965,411786,222949,11825024,188837,157016,0.972094734910753,0.78552183891699,0.586761938599608,0.984281739234373,0.541419572302118,0.563179585500997,0.571043677833981
plain_mf,multi-Forest,original,21,599210,523014,385300,11656902,137714,213910,0.971629099843745,0.81566864772759,0.643013300846114,0.988323994609066,0.73669156083776,0.686672179529221,0.63133729545518
plain_mf,multi-Forest,original,22,41980,103316,30095,12278625,73221,11885,0.993133193898317,0.855480527459743,0.716888994759409,0.994072060160076,0.291290797165976,0.414257790992182,0.710961054919486
plain_mf,multi-Forest,original,23,326806,327628,193281,11932673,134347,133525,0.978386658002137,0.790145433390102,0.591424270056241,0.988866596723963,0.589940420232703,0.590681413251757,0.580290866780205
plain_mf,multi-Forest,original,24,845397,692817,543680,11399292,149137,301717,0.963622694073646,0.815096043696342,0.643106138299521,0.987085949093162,0.784738249783132,0.706897739846341,0.630192087392683
plain_mf,multi-Forest,original,25,237357,305236,155197,12006430,150039,82160,0.981264945949701,0.820756212259706,0.653854742013086,0.987657682506326,0.508449199963307,0.572056771834506,0.641512424519412
plain_mf,multi-Forest,original,26,40896,108506,23908,12268332,84598,16988,0.991803499581162,0.788878217805104,0.584604851330203,0.993151584280005,0.220338045822351,0.320049263062074,0.577756435610208
plain_mf,multi-Forest,original,27,859115,725970,633979,11442720,91991,225136,0.974412501837609,0.864984567120782,0.7379442798694,0.992024854372164,0.873285397468215,0.799930603090686,0.729969134241565
plain_mf,multi-Forest,original,28,46042,105744,22599,12264639,83145,23443,0.991399911536599,0.74205042930118,0.490834455497155,0.993266403105205,0.213714253290967,0.297774498306827,0.48410085860236
plain_mf,multi-Forest,original,29,164338,201568,129592,12157512,71976,34746,0.991389099701739,0.891342225953292,0.788569898623569,0.994114553283016,0.642919511033497,0.708334927549699,0.782684451906584
plain_mf,multi-Forest,original,30,576557,460268,248711,11605712,211557,327846,0.956478088364319,0.706735213702683,0.431372787079161,0.982097640326204,0.540361267783118,0.479755021339185,0.413470427405365
plain_mf,multi-Forest,original,31,841378,732051,593407,11413804,138644,247971,0.9688058392945,0.846639321991635,0.705279909862155,0.987998734121114,0.810608823702174,0.754285067835918,0.693278643983269
plain_mf,multi-Forest,original,32,60484,109237,40044,12264149,69193,20440,0.992767931387773,0.828224574152863,0.66205938760664,0.994389760699087,0.366579089502641,0.471880321233083,0.656449148305727
plain_mf,multi-Forest,original,33,389751,388617,257147,11872605,131470,132604,0.978693100903627,0.824410203626228,0.659772521430349,0.989047885822106,0.661697764122517,0.66073374033876,0.648820407252456
plain_mf,multi-Forest,original,34,5159,23354,3959,12369272,19395,1200,0.998338285530231,0.882915619293854,0.767396782322155,0.998434456265553,0.169521281150981,0.277697892189528,0.765831238587709
plain_mf,multi-Forest,original,35,32864,73792,27932,12315102,45860,4932,0.995901830475916,0.923108452268128,0.849926971762415,0.996289932773841,0.378523417172593,0.523777377737774,0.846216904536256
plain_mf,multi-Forest,original,36,22575,137183,16192,12250260,120991,6383,0.989722786167887,0.853736792879454,0.717253599114064,0.990219986644843,0.11803211768222,0.202706593723006,0.707473585758907
plain_mf,multi-Forest,original,37,191906,194483,140436,12147873,54047,51470,0.991486325530147,0.86368319506558,0.731795775014851,0.99557061511631,0.722099103777708,0.72691510369084,0.727366390131161
plain_mf,multi-Forest,original,38,30032,54427,27762,12337129,26665,2270,0.997665369838176,0.96112862900054,0.924413958444326,0.997843299556754,0.510077718779282,0.657407736298086,0.92225725800108
plain_mf,multi-Forest,original,39,21943,75579,13279,12309583,62300,8664,0.994274245902758,0.800061604391228,0.605158820580595,0.994964388201861,0.175696952857275,0.272328295153914,0.600123208782456
plain_mf,multi-Forest,original,40,339661,327145,128131,11855151,199014,211530,0.966875119918579,0.680361013382742,0.377232004851896,0.983490021913587,0.391664246740742,0.384312678650162,0.360722026765484
plain_mf,multi-Forest,original,41,91243,150854,48040,12199769,102814,43203,0.988218569471606,0.759074518070401,0.526506142936992,0.991642893203809,0.318453604147056,0.396865719112587,0.518149036140802
plain_mf,multi-Forest,original,42,155019,254890,120290,12104207,134600,34729,0.986337632947243,0.882485796673531,0.775969397299686,0.989002196047376,0.471929067440857,0.586910753362332,0.764971593347062
plain_mf,multi-Forest,original,43,5692,24710,4901,12368325,19809,791,0.998337882103557,0.92971699932183,0.861033028812368,0.998400969831292,0.198340752731688,0.322412999144793,0.85943399864366
plain_mf,multi-Forest,original,44,566191,364808,195271,11658098,169537,370920,0.956393046021463,0.665275705131983,0.344885383201075,0.985666027062891,0.5352706081007,0.419487024153624,0.330551410263967
plain_mf,multi-Forest,original,45,16405,64264,11734,12324891,52530,4671,0.995384718165319,0.85551285831819,0.71526973483694,0.995755981799439,0.182590563923814,0.290917204874239,0.711025716636379
