method,model_family,model_version,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
rf_var,single RF,corrected,26,40896,108821,24271,12268380,84550,16625,0.991836661253756,0.793318247518465,0.593481025039124,0.993155469997806,0.223035994890692,0.324225037904847,0.58663649503693
rf_var,single RF,corrected,27,859115,726798,634822,11442735,91976,224293,0.974481729854849,0.865475838494607,0.738925522194351,0.992026154794862,0.87345039474517,0.800576071953506,0.730951676989213
rf_var,single RF,corrected,28,46042,103570,22579,12266793,80991,23463,0.991572094041017,0.74192045843176,0.490400069501759,0.993440847361761,0.218007144926137,0.301834077480416,0.483840916863521
rf_var,single RF,corrected,29,164338,202464,130071,12157095,72393,34267,0.991394102192495,0.892782539263097,0.791484623154718,0.994080455371476,0.642440137505927,0.709216416486279,0.785565078526194
rf_var,single RF,corrected,30,576557,460852,248563,11604980,212289,327994,0.956407085269714,0.706575893971894,0.431116090863523,0.982035697080265,0.539355367883833,0.47919962136438,0.413151787943787
rf_var,single RF,corrected,31,841378,735731,593488,11410205,142243,247890,0.968521988286749,0.846531689461393,0.705376180503888,0.987687198418898,0.80666439228468,0.752627751157339,0.693063378922786
rf_var,single RF,corrected,32,60484,112344,40497,12261495,71847,19987,0.992590342965925,0.831861771644986,0.669548971628861,0.994174571661112,0.360473189489425,0.468639340847548,0.663723543289972
rf_var,single RF,corrected,33,389751,394493,259060,11868642,135433,130691,0.978527695967331,0.82669926565169,0.664680783371948,0.988717747931432,0.656690993249563,0.660661732828048,0.653398531303379
rf_var,single RF,corrected,34,5159,23119,3952,12369500,19167,1207,0.998356116989217,0.882246395200826,0.766039930219035,0.998452860182617,0.170941649725334,0.279510573590777,0.764492790401652
rf_var,single RF,corrected,35,32864,73005,27983,12315940,45022,4881,0.995973559738534,0.923918274330581,0.8514788218111,0.996357726850062,0.383302513526471,0.52863444445494,0.847836548661163
