original_zone,predicted_zone,n,method,method_label
12,12,234228,mf_var,Plain MF RF
12,13,20953,mf_var,Plain MF RF
12,14,6263,mf_var,Plain MF RF
12,15,7332,mf_var,Plain MF RF
12,16,14,mf_var,Plain MF RF
12,17,6,mf_var,Plain MF RF
12,18,12,mf_var,Plain MF RF
12,19,141,mf_var,Plain MF RF
12,20,6,mf_var,Plain MF RF
12,21,7,mf_var,Plain MF RF
12,22,1314,mf_var,Plain MF RF
12,23,812,mf_var,Plain MF RF
12,24,3169,mf_var,Plain MF RF
12,25,2604,mf_var,Plain MF RF
12,26,299,mf_var,Plain MF RF
12,27,10789,mf_var,Plain MF RF
12,28,14,mf_var,Plain MF RF
12,29,84,mf_var,Plain MF RF
12,30,4,mf_var,Plain MF RF
12,31,2,mf_var,Plain MF RF
12,32,33,mf_var,Plain MF RF
12,33,4985,mf_var,Plain MF RF
12,34,28,mf_var,Plain MF RF
12,35,4,mf_var,Plain MF RF
12,36,7,mf_var,Plain MF RF
12,37,40,mf_var,Plain MF RF
12,38,9,mf_var,Plain MF RF
12,39,10,mf_var,Plain MF RF
12,40,6,mf_var,Plain MF RF
12,41,2537,mf_var,Plain MF RF
12,42,7,mf_var,Plain MF RF
12,43,9,mf_var,Plain MF RF
12,44,12,mf_var,Plain MF RF
12,45,44,mf_var,Plain MF RF
12,46,32,mf_var,Plain MF RF
12,47,3,mf_var,Plain MF RF
12,48,12,mf_var,Plain MF RF
12,49,12,mf_var,Plain MF RF
12,50,8,mf_var,Plain MF RF
12,52,7,mf_var,Plain MF RF
12,53,3,mf_var,Plain MF RF
12,54,11,mf_var,Plain MF RF
12,55,11,mf_var,Plain MF RF
13,1,2664,mf_var,Plain MF RF
13,2,1936,mf_var,Plain MF RF
13,3,1900,mf_var,Plain MF RF
13,4,11042,mf_var,Plain MF RF
13,5,9265,mf_var,Plain MF RF
13,6,727,mf_var,Plain MF RF
13,7,12713,mf_var,Plain MF RF
13,9,68,mf_var,Plain MF RF
13,10,30,mf_var,Plain MF RF
13,11,26522,mf_var,Plain MF RF
13,12,32397,mf_var,Plain MF RF
13,13,379204,mf_var,Plain MF RF
13,14,16637,mf_var,Plain MF RF
13,15,16815,mf_var,Plain MF RF
13,16,7501,mf_var,Plain MF RF
13,17,51,mf_var,Plain MF RF
13,18,6443,mf_var,Plain MF RF
13,19,262,mf_var,Plain MF RF
13,20,1998,mf_var,Plain MF RF
13,21,7,mf_var,Plain MF RF
13,22,2054,mf_var,Plain MF RF
13,23,171,mf_var,Plain MF RF
13,24,8416,mf_var,Plain MF RF
13,25,34640,mf_var,Plain MF RF
13,26,7,mf_var,Plain MF RF
13,27,2431,mf_var,Plain MF RF
13,28,100,mf_var,Plain MF RF
13,29,101,mf_var,Plain MF RF
13,30,48,mf_var,Plain MF RF
13,31,3866,mf_var,Plain MF RF
13,32,4359,mf_var,Plain MF RF
13,33,30990,mf_var,Plain MF RF
13,34,13,mf_var,Plain MF RF
13,35,1213,mf_var,Plain MF RF
13,36,6,mf_var,Plain MF RF
13,37,217,mf_var,Plain MF RF
13,38,7,mf_var,Plain MF RF
13,39,11,mf_var,Plain MF RF
13,40,17,mf_var,Plain MF RF
13,41,1132,mf_var,Plain MF RF
13,42,829,mf_var,Plain MF RF
13,43,13,mf_var,Plain MF RF
13,44,8,mf_var,Plain MF RF
13,45,13,mf_var,Plain MF RF
13,46,36,mf_var,Plain MF RF
13,47,15,mf_var,Plain MF RF
13,48,5,mf_var,Plain MF RF
13,49,17,mf_var,Plain MF RF
13,50,11,mf_var,Plain MF RF
13,52,15,mf_var,Plain MF RF
13,53,6,mf_var,Plain MF RF
13,54,9,mf_var,Plain MF RF
13,55,13,mf_var,Plain MF RF
14,2,38,mf_var,Plain MF RF
14,3,39,mf_var,Plain MF RF
14,4,331,mf_var,Plain MF RF
14,5,133,mf_var,Plain MF RF
14,7,439,mf_var,Plain MF RF
14,11,755,mf_var,Plain MF RF
14,12,437,mf_var,Plain MF RF
14,13,824,mf_var,Plain MF RF
14,14,26292,mf_var,Plain MF RF
14,15,611,mf_var,Plain MF RF
14,19,488,mf_var,Plain MF RF
14,23,869,mf_var,Plain MF RF
14,24,481,mf_var,Plain MF RF
14,25,26,mf_var,Plain MF RF
14,27,705,mf_var,Plain MF RF
14,29,4,mf_var,Plain MF RF
14,32,8,mf_var,Plain MF RF
14,33,182,mf_var,Plain MF RF
14,37,3,mf_var,Plain MF RF
15,1,77,mf_var,Plain MF RF
15,2,114,mf_var,Plain MF RF
15,3,539,mf_var,Plain MF RF
15,4,2453,mf_var,Plain MF RF
15,5,1734,mf_var,Plain MF RF
15,6,1864,mf_var,Plain MF RF
15,7,1170,mf_var,Plain MF RF
15,9,183,mf_var,Plain MF RF
15,10,136,mf_var,Plain MF RF
15,11,5220,mf_var,Plain MF RF
15,12,6894,mf_var,Plain MF RF
15,13,17174,mf_var,Plain MF RF
15,14,6793,mf_var,Plain MF RF
15,15,133460,mf_var,Plain MF RF
15,16,157,mf_var,Plain MF RF
15,17,86,mf_var,Plain MF RF
15,18,120,mf_var,Plain MF RF
15,19,6911,mf_var,Plain MF RF
15,20,172,mf_var,Plain MF RF
15,21,86,mf_var,Plain MF RF
15,22,88,mf_var,Plain MF RF
15,23,13042,mf_var,Plain MF RF
15,24,5514,mf_var,Plain MF RF
15,25,4714,mf_var,Plain MF RF
15,26,82,mf_var,Plain MF RF
15,27,10715,mf_var,Plain MF RF
15,28,123,mf_var,Plain MF RF
15,29,3210,mf_var,Plain MF RF
15,30,120,mf_var,Plain MF RF
15,31,252,mf_var,Plain MF RF
15,32,4350,mf_var,Plain MF RF
15,33,3960,mf_var,Plain MF RF
15,34,107,mf_var,Plain MF RF
15,35,289,mf_var,Plain MF RF
15,36,90,mf_var,Plain MF RF
15,37,247,mf_var,Plain MF RF
15,38,1345,mf_var,Plain MF RF
15,39,73,mf_var,Plain MF RF
15,40,76,mf_var,Plain MF RF
15,41,128,mf_var,Plain MF RF
15,42,512,mf_var,Plain MF RF
15,43,171,mf_var,Plain MF RF
15,44,108,mf_var,Plain MF RF
15,45,87,mf_var,Plain MF RF
15,46,128,mf_var,Plain MF RF
15,47,94,mf_var,Plain MF RF
15,48,76,mf_var,Plain MF RF
15,49,107,mf_var,Plain MF RF
15,50,78,mf_var,Plain MF RF
15,52,109,mf_var,Plain MF RF
15,53,79,mf_var,Plain MF RF
15,54,80,mf_var,Plain MF RF
15,55,94,mf_var,Plain MF RF
16,1,3737,mf_var,Plain MF RF
16,2,2595,mf_var,Plain MF RF
16,3,71,mf_var,Plain MF RF
16,4,1412,mf_var,Plain MF RF
16,5,5381,mf_var,Plain MF RF
16,6,152,mf_var,Plain MF RF
16,7,339,mf_var,Plain MF RF
16,9,9,mf_var,Plain MF RF
16,10,12100,mf_var,Plain MF RF
16,11,127,mf_var,Plain MF RF
16,12,10,mf_var,Plain MF RF
16,13,4947,mf_var,Plain MF RF
16,14,10,mf_var,Plain MF RF
16,15,549,mf_var,Plain MF RF
16,16,541483,mf_var,Plain MF RF
16,17,5462,mf_var,Plain MF RF
16,18,67345,mf_var,Plain MF RF
16,19,410,mf_var,Plain MF RF
16,20,79585,mf_var,Plain MF RF
16,21,9,mf_var,Plain MF RF
16,22,23611,mf_var,Plain MF RF
16,23,201,mf_var,Plain MF RF
16,24,440,mf_var,Plain MF RF
16,25,2859,mf_var,Plain MF RF
16,26,42,mf_var,Plain MF RF
16,27,7,mf_var,Plain MF RF
16,28,461,mf_var,Plain MF RF
16,29,50,mf_var,Plain MF RF
