method,predicted_zone,model_family,model_version,original_zone,pixels,predicted_total,share_of_prediction
mf_var,16,multi-Forest,corrected,48,1,705726,1.41698052785359e-06
mf_var,16,multi-Forest,corrected,50,1,705726,1.41698052785359e-06
mf_var,17,multi-Forest,corrected,16,5462,10168,0.537175452399685
mf_var,17,multi-Forest,corrected,20,1149,10168,0.113001573564123
mf_var,17,multi-Forest,corrected,5,591,10168,0.0581235247836349
mf_var,17,multi-Forest,corrected,2,470,10168,0.0462234461054288
mf_var,17,multi-Forest,corrected,4,331,10168,0.0325531077891424
mf_var,17,multi-Forest,corrected,18,117,10168,0.0115066876475216
mf_var,17,multi-Forest,corrected,15,86,10168,0.00845790715971676
mf_var,17,multi-Forest,corrected,1,53,10168,0.00521243115656963
mf_var,17,multi-Forest,corrected,13,51,10168,0.00501573564122738
mf_var,17,multi-Forest,corrected,22,47,10168,0.00462234461054288
mf_var,17,multi-Forest,corrected,27,36,10168,0.0035405192761605
mf_var,17,multi-Forest,corrected,19,26,10168,0.00255704169944925
mf_var,17,multi-Forest,corrected,21,26,10168,0.00255704169944925
mf_var,17,multi-Forest,corrected,6,25,10168,0.00245869394177813
mf_var,17,multi-Forest,corrected,11,24,10168,0.002360346184107
mf_var,17,multi-Forest,corrected,44,24,10168,0.002360346184107
mf_var,17,multi-Forest,corrected,3,17,10168,0.00167191188040913
mf_var,17,multi-Forest,corrected,53,16,10168,0.001573564122738
mf_var,17,multi-Forest,corrected,23,13,10168,0.00127852084972463
mf_var,17,multi-Forest,corrected,47,11,10168,0.00108182533438238
mf_var,17,multi-Forest,corrected,10,10,10168,0.000983477576711251
mf_var,17,multi-Forest,corrected,31,10,10168,0.000983477576711251
mf_var,17,multi-Forest,corrected,49,9,10168,0.000885129819040126
mf_var,17,multi-Forest,corrected,40,8,10168,0.000786782061369001
mf_var,17,multi-Forest,corrected,30,7,10168,0.000688434303697876
mf_var,17,multi-Forest,corrected,12,6,10168,0.000590086546026751
mf_var,17,multi-Forest,corrected,52,5,10168,0.000491738788355626
mf_var,17,multi-Forest,corrected,54,5,10168,0.000491738788355626
mf_var,17,multi-Forest,corrected,24,4,10168,0.0003933910306845
mf_var,17,multi-Forest,corrected,7,3,10168,0.000295043273013375
mf_var,17,multi-Forest,corrected,25,3,10168,0.000295043273013375
mf_var,17,multi-Forest,corrected,29,3,10168,0.000295043273013375
mf_var,17,multi-Forest,corrected,37,3,10168,0.000295043273013375
mf_var,17,multi-Forest,corrected,34,2,10168,0.00019669551534225
mf_var,17,multi-Forest,corrected,46,2,10168,0.00019669551534225
mf_var,17,multi-Forest,corrected,9,1,10168,9.83477576711251e-05
mf_var,17,multi-Forest,corrected,41,1,10168,9.83477576711251e-05
mf_var,17,multi-Forest,corrected,42,1,10168,9.83477576711251e-05
mf_var,17,multi-Forest,corrected,50,1,10168,9.83477576711251e-05
mf_var,18,multi-Forest,corrected,16,67345,164291,0.409912898454571
mf_var,18,multi-Forest,corrected,31,9942,164291,0.0605145747484646
mf_var,18,multi-Forest,corrected,46,8222,164291,0.0500453463671169
