method,zone,original_pixels,predicted_pixels,predicted_to_original,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
optimized_rf,27,859115,731196,0.851103752117004,625524,11429039,105672,233591,0.972626451266945,0.859470769541751,0.728102756906817,0.990838782176684,0.855480609850163,0.786668771076852,0.718941539083501
optimized_rf,28,46042,87700,1.9047825898093,18282,12278366,69418,27760,0.992159160536867,0.695725169473689,0.397072238391034,0.994378100556343,0.208460661345496,0.273392053356462,0.391450338947377
optimized_rf,29,164338,175468,1.06772627146491,115861,12169881,59607,48477,0.99127920627577,0.850071225761737,0.705016490403924,0.99512596111955,0.660297034217065,0.68192439215317,0.700142451523473
optimized_rf,30,576557,607635,1.05390273641635,315456,11525090,292179,261101,0.955358417973594,0.761206414433748,0.547137577030545,0.975275251836952,0.519153768298403,0.532778468356483,0.522412828867497
optimized_rf,31,841378,757698,0.900544107404758,599393,11394143,158305,241985,0.9677024673414,0.849345636445039,0.712394429138865,0.986296843751212,0.791071112765244,0.749674186842902,0.698691272890077
optimized_rf,32,60484,66605,1.10120031743932,28857,12295594,37748,31627,0.994402454899722,0.737020367842897,0.477101382183718,0.996939353502076,0.433255761579461,0.45412270141397,0.474040735685794
optimized_rf,33,389751,360649,0.925331814414844,233919,11877345,126730,155832,0.977201390434237,0.794809124197739,0.600175496663254,0.989442751732224,0.648605708043,0.623451492537313,0.589618248395479
optimized_rf,34,5159,12593,2.44097693351425,3152,12379226,9441,2007,0.999076314287452,0.805104525486639,0.610971118433805,0.999237932539473,0.250297784483443,0.355114916629112,0.610209050973278
optimized_rf,35,32864,54891,1.6702470788705,25231,12331302,29660,7633,0.996991001810095,0.882670143213863,0.767739776046738,0.997600510380988,0.459656409976135,0.575032761666002,0.765340286427726
optimized_rf,36,22575,123481,5.46981173864895,12429,12260199,111052,10146,0.990221098795481,0.770794082800616,0.550564784053156,0.991023381548075,0.100655161522825,0.170194993701046,0.541588165601231
optimized_rf,37,191906,187153,0.975232665992726,136602,12151369,50551,55304,0.991459053886992,0.853837185630937,0.711817243858973,0.9958571274029,0.729894791961657,0.720742681218491,0.707674371261873
optimized_rf,38,30032,46701,1.55504128929142,25729,12342822,20972,4303,0.997960678163466,0.927511628061035,0.856719499200852,0.998303756921217,0.550930386929616,0.670611079978627,0.855023256122069
optimized_rf,39,21943,56522,2.57585562593994,13799,12329160,42723,8144,0.995895779075808,0.81270167476617,0.628856582964955,0.996546766567385,0.244135027069106,0.351723698464284,0.62540334953234
optimized_rf,40,339661,303990,0.894980583581866,129249,11879424,174741,210412,0.968923801253947,0.683013602367095,0.380523521982212,0.985503682751978,0.425175170235863,0.401612053737196,0.36602720473419
optimized_rf,41,91243,141469,1.5504641451947,50595,12211709,90874,40648,0.989388103399225,0.773560856073626,0.554508291046984,0.992613421100268,0.357640189723544,0.434829316923923,0.547121712147253
optimized_rf,42,155019,236467,1.52540656306646,124236,12126576,112231,30783,0.988460867531947,0.89612712420076,0.801424341532328,0.990829906869191,0.525384091649152,0.634689363093444,0.792254248401519
optimized_rf,43,5692,17146,3.012297962052,4605,12375593,12541,1087,0.998900420257635,0.90400893906904,0.809030217849614,0.998987660288466,0.268575761110463,0.403275243016026,0.80801787813808
