ori,pred,n,method,ori_category,pred_category
11,2,1482,multiclass_rf,grassland_meadow_steppe,forest
11,3,547,multiclass_rf,grassland_meadow_steppe,forest
11,4,3740,multiclass_rf,grassland_meadow_steppe,wetland
11,5,5401,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
11,6,2380,multiclass_rf,grassland_meadow_steppe,wetland
11,7,1990,multiclass_rf,grassland_meadow_steppe,scrub
11,9,58,multiclass_rf,grassland_meadow_steppe,forest
11,10,37,multiclass_rf,grassland_meadow_steppe,forest
11,11,106360,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
11,12,4925,multiclass_rf,grassland_meadow_steppe,cropland
11,13,5142,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
11,14,5535,multiclass_rf,grassland_meadow_steppe,forest
11,15,1002,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
11,16,221,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
11,17,64,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
11,18,72,multiclass_rf,grassland_meadow_steppe,scrub
11,20,411,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
11,22,87,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
11,23,11,multiclass_rf,grassland_meadow_steppe,desert
11,24,267,multiclass_rf,grassland_meadow_steppe,desert
11,25,1318,multiclass_rf,grassland_meadow_steppe,desert
11,27,2113,multiclass_rf,grassland_meadow_steppe,cropland
11,28,32,multiclass_rf,grassland_meadow_steppe,forest
11,31,57,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
11,32,167,multiclass_rf,grassland_meadow_steppe,desert
11,33,2382,multiclass_rf,grassland_meadow_steppe,cropland
11,34,63,multiclass_rf,grassland_meadow_steppe,forest
11,36,61,multiclass_rf,grassland_meadow_steppe,forest
11,37,118,multiclass_rf,grassland_meadow_steppe,forest
11,40,2,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
11,41,669,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
11,42,86,multiclass_rf,grassland_meadow_steppe,desert
11,43,5,multiclass_rf,grassland_meadow_steppe,wetland
11,47,27,multiclass_rf,grassland_meadow_steppe,cropland
12,1,599,multiclass_rf,cropland,cropland
12,2,992,multiclass_rf,cropland,forest
12,3,16269,multiclass_rf,cropland,forest
12,4,10183,multiclass_rf,cropland,wetland
12,5,10487,multiclass_rf,cropland,grassland_meadow_steppe
12,6,12701,multiclass_rf,cropland,wetland
12,7,9715,multiclass_rf,cropland,scrub
12,9,8349,multiclass_rf,cropland,forest
12,11,15031,multiclass_rf,cropland,grassland_meadow_steppe
12,12,242828,multiclass_rf,cropland,cropland
12,13,12933,multiclass_rf,cropland,grassland_meadow_steppe
12,14,7645,multiclass_rf,cropland,forest
12,15,6125,multiclass_rf,cropland,grassland_meadow_steppe
12,19,45,multiclass_rf,cropland,no_vegetation
12,22,2668,multiclass_rf,cropland,alpine_vegetation
12,23,618,multiclass_rf,cropland,desert
12,24,1348,multiclass_rf,cropland,desert
12,25,2644,multiclass_rf,cropland,desert
12,26,23,multiclass_rf,cropland,forest
12,27,5455,multiclass_rf,cropland,cropland
12,29,160,multiclass_rf,cropland,desert
12,32,137,multiclass_rf,cropland,desert
12,33,3184,multiclass_rf,cropland,cropland
12,34,54,multiclass_rf,cropland,forest
12,36,52,multiclass_rf,cropland,forest
12,37,221,multiclass_rf,cropland,forest
12,38,32,multiclass_rf,cropland,desert
12,41,3301,multiclass_rf,cropland,grassland_meadow_steppe
13,1,5911,multiclass_rf,grassland_meadow_steppe,cropland
13,2,3116,multiclass_rf,grassland_meadow_steppe,forest
13,3,976,multiclass_rf,grassland_meadow_steppe,forest
13,4,17529,multiclass_rf,grassland_meadow_steppe,wetland
13,5,9345,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
13,6,1262,multiclass_rf,grassland_meadow_steppe,wetland
13,7,12227,multiclass_rf,grassland_meadow_steppe,scrub
13,9,134,multiclass_rf,grassland_meadow_steppe,forest
