method,method_label,scenario,period,ssp,k,rank_label,change_code,change_class,area_km2,total_area_km2,area_share,pixel_count,total_pixels,pixel_share,comparison,topk_rule,novel_definition,change_label
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,5,Top-5,1,Reference ecotype retained,6942295.63597082,8501128.01141611,0.816632290049986,10088806,12393866,0.814016062461866,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,5,Top-5,2,Different current ecotype assigned,1086982.34305984,8501128.01141611,0.127863307269357,1597457,12393866,0.128890936855377,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,5,Top-5,3,Novel ecosystem,471850.032385451,8501128.01141611,0.0555044026806569,707603,12393866,0.0570930006827571,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,1,Top-1,1,Reference ecotype retained,2060359.89308538,8501128.0113964,0.242363118203057,2968701,12393866,0.239529860981231,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,1,Top-1,2,Different current ecotype assigned,5531364.14967173,8501128.0113964,0.650662375893707,8026914,12393866,0.647652153089278,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,1,Top-1,3,Novel ecosystem,909403.968639294,8501128.0113964,0.106974505903236,1398251,12393866,0.112817985929491,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,3,Top-3,1,Reference ecotype retained,4393169.6268292,8501128.01140868,0.516774905745859,6379256,12393866,0.514710744815218,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,3,Top-3,2,Different current ecotype assigned,3198554.41594019,8501128.01140868,0.376250588351059,4616359,12393866,0.372471269255291,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,3,Top-3,3,Novel ecosystem,909403.968639294,8501128.01140868,0.106974505903082,1398251,12393866,0.112817985929491,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,5,Top-5,1,Reference ecotype retained,6057332.9787127,8501128.01138509,0.712532851005237,8762562,12393866,0.707007966682874,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
