method,scenario,Species,PopulationID,source_zone,new_area_km2,old_area_km2,relative_error
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone18,18,139695.600333467,139695.60033346,5.33343969254503e-14
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone21,21,692111.759853764,692111.759853143,8.96522355680278e-13
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone28,28,64889.8665803372,64889.8665803375,4.03660059596999e-15
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone30,30,230640.822896456,230640.822896536,3.45625681611245e-13
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone39,39,57560.3113765753,57560.3113765784,5.41016854216959e-14
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone40,40,255330.660812847,255330.660813044,7.70993615034305e-13
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone44,44,233336.373547504,233336.373547657,6.56948047511796e-13
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone45,45,77163.7065788667,77163.7065788694,3.5453974209193e-14
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone46,46,153742.947139204,153742.947139219,9.74904733135194e-14
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone47,47,293534.596520154,293534.596520181,9.35971986841004e-14
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone49,49,129709.720068583,129709.7200686,1.30138448035953e-13
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone5,5,126244.18682849,126244.186828487,2.37452084911932e-14
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone50,50,13827.0170092939,13827.0170092939,2.49951226964869e-15
mf_var,2011-2040SSP585,pinuYun,pinuYun-Zone7,7,159210.972768288,159210.972768346,3.61944803818131e-13
mf_var,2011-2040SSP585,querVar,querVar-Zone10,10,133060.507099395,133060.507099376,1.41078454109403e-13
mf_var,2011-2040SSP585,querVar,querVar-Zone21,21,692111.759853764,692111.759853143,8.96522355680278e-13
mf_var,2011-2040SSP585,querVar,querVar-Zone26,26,24727.6292836183,24727.6292836188,1.94201068379099e-14
mf_var,2011-2040SSP585,querVar,querVar-Zone27,27,627103.253056806,627103.253056506,4.77836842532739e-13
mf_var,2011-2040SSP585,querVar,querVar-Zone28,28,64889.8665803372,64889.8665803375,4.03660059596999e-15
mf_var,2011-2040SSP585,querVar,querVar-Zone3,3,283092.671954753,283092.671954762,3.35149923287712e-14
mf_var,2011-2040SSP585,querVar,querVar-Zone30,30,230640.822896456,230640.822896536,3.45625681611245e-13
