Species,PopulationID,source_zone,zone_name,reference_abundance,method,scenario,dual_threshold,rank_min_suitability,suitable_area_km2,suitability_weighted_area_km2,mean_dual_suitability,max_dual_suitability,population_niche_definition,source_dual_raster,population_stack_file,layer,layer_name,COLOR,period,ssp,method_label
chamFor,chamFor-Zone30,30,Needleleaf forests in subtropical zone,10,mf_var,2011-2040SSP245,0.4,0,1337047.96536245,1106879.19796073,0.107820438876551,0.998766124248505,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2011-2040SSP245/dual_suitability_zone30.tif,,4,pop_zone30,#1B9AAA,2011-2040,SSP245,Plain MF RF
chamFor,chamFor-Zone30,30,Needleleaf forests in subtropical zone,10,mf_var,2011-2040SSP585,0.4,0,1353438.25968577,1097806.91280904,0.106973193972744,0.998434722423553,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2011-2040SSP585/dual_suitability_zone30.tif,,4,pop_zone30,#1B9AAA,2011-2040,SSP585,Plain MF RF
chamFor,chamFor-Zone30,30,Needleleaf forests in subtropical zone,10,mf_var,2041-2070SSP245,0.4,0,1163217.31351408,988036.407931602,0.0963782271461983,0.997828722000122,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2041-2070SSP245/dual_suitability_zone30.tif,,4,pop_zone30,#1B9AAA,2041-2070,SSP245,Plain MF RF
chamFor,chamFor-Zone30,30,Needleleaf forests in subtropical zone,10,mf_var,2041-2070SSP585,0.4,0,1072956.16743153,936072.806734934,0.0913893861659571,0.993289828300476,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2041-2070SSP585/dual_suitability_zone30.tif,,4,pop_zone30,#1B9AAA,2041-2070,SSP585,Plain MF RF
chamFor,chamFor-Zone30,30,Needleleaf forests in subtropical zone,10,mf_var,2071-2100SSP245,0.4,0,1060009.59879559,926365.979783901,0.0904868052120297,0.996220350265503,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2071-2100SSP245/dual_suitability_zone30.tif,,4,pop_zone30,#1B9AAA,2071-2100,SSP245,Plain MF RF
chamFor,chamFor-Zone30,30,Needleleaf forests in subtropical zone,10,mf_var,2071-2100SSP585,0.4,0,678526.77121876,788855.648397844,0.0772671384497844,0.977640450000763,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2071-2100SSP585/dual_suitability_zone30.tif,,4,pop_zone30,#1B9AAA,2071-2100,SSP585,Plain MF RF
chamFor,chamFor-Zone30,30,Needleleaf forests in subtropical zone,10,rf_var,2011-2040SSP245,0.4,0,1330937.96836305,1106645.47481794,0.107799891312452,0.999993801116943,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2011-2040SSP245/dual_suitability_zone30.tif,,4,pop_zone30,#1B9AAA,2011-2040,SSP245,Plain RF
chamFor,chamFor-Zone30,30,Needleleaf forests in subtropical zone,10,rf_var,2011-2040SSP585,0.4,0,1342725.49010955,1098023.970005,0.106998293330992,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2011-2040SSP585/dual_suitability_zone30.tif,,4,pop_zone30,#1B9AAA,2011-2040,SSP585,Plain RF
chamFor,chamFor-Zone30,30,Needleleaf forests in subtropical zone,10,rf_var,2041-2070SSP245,0.4,0,1150606.48940731,983306.648902793,0.0959193605578842,0.999796330928802,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2041-2070SSP245/dual_suitability_zone30.tif,,4,pop_zone30,#1B9AAA,2041-2070,SSP245,Plain RF
chamFor,chamFor-Zone30,30,Needleleaf forests in subtropical zone,10,rf_var,2041-2070SSP585,0.4,0,1057184.8427692,929498.388669496,0.0907511062280551,0.997333884239197,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2041-2070SSP585/dual_suitability_zone30.tif,,4,pop_zone30,#1B9AAA,2041-2070,SSP585,Plain RF
chamFor,chamFor-Zone30,30,Needleleaf forests in subtropical zone,10,rf_var,2071-2100SSP245,0.4,0,1033842.62573034,917757.284093439,0.0896503451604841,0.999075710773468,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2071-2100SSP245/dual_suitability_zone30.tif,,4,pop_zone30,#1B9AAA,2071-2100,SSP245,Plain RF
chamFor,chamFor-Zone30,30,Needleleaf forests in subtropical zone,10,rf_var,2071-2100SSP585,0.4,0,624494.560234146,777995.912497863,0.0762063646045088,0.9864382147789,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2071-2100SSP585/dual_suitability_zone30.tif,,4,pop_zone30,#1B9AAA,2071-2100,SSP585,Plain RF
chamFor,chamFor-Zone34,34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,mf_var,2011-2040SSP245,0.4,0,146971.869263789,165056.44759436,0.0166860757250007,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2011-2040SSP245/dual_suitability_zone34.tif,,5,pop_zone34,#2A9D8F,2011-2040,SSP245,Plain MF RF
chamFor,chamFor-Zone34,34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,mf_var,2011-2040SSP585,0.4,0,146990.155270339,165530.162773479,0.0167673023409591,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2011-2040SSP585/dual_suitability_zone34.tif,,5,pop_zone34,#2A9D8F,2011-2040,SSP585,Plain MF RF
chamFor,chamFor-Zone34,34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,mf_var,2041-2070SSP245,0.4,0,141667.147287871,169448.080705327,0.0174375422456086,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2041-2070SSP245/dual_suitability_zone34.tif,,5,pop_zone34,#2A9D8F,2041-2070,SSP245,Plain MF RF
chamFor,chamFor-Zone34,34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,mf_var,2041-2070SSP585,0.4,0,138917.571945781,171161.22205146,0.0177836967982417,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2041-2070SSP585/dual_suitability_zone34.tif,,5,pop_zone34,#2A9D8F,2041-2070,SSP585,Plain MF RF
chamFor,chamFor-Zone34,34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,mf_var,2071-2100SSP245,0.4,0,141085.699764157,174342.361189199,0.0181516230950266,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2071-2100SSP245/dual_suitability_zone34.tif,,5,pop_zone34,#2A9D8F,2071-2100,SSP245,Plain MF RF
chamFor,chamFor-Zone34,34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,mf_var,2071-2100SSP585,0.4,0,137979.084754503,178322.018784269,0.0189887968327398,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2071-2100SSP585/dual_suitability_zone34.tif,,5,pop_zone34,#2A9D8F,2071-2100,SSP585,Plain MF RF
