method,zone,metric,value,method_label,metric_label,zone_factor
rf_var,22,sensitivity,0.725607432110529,Plain RF,Sensitivity,22
rf_var,23,sensitivity,0.574432537958299,Plain RF,Sensitivity,23
rf_var,24,sensitivity,0.639215658442128,Plain RF,Sensitivity,24
rf_var,25,sensitivity,0.647172824058275,Plain RF,Sensitivity,25
rf_var,26,sensitivity,0.593481025039124,Plain RF,Sensitivity,26
rf_var,27,sensitivity,0.738925522194351,Plain RF,Sensitivity,27
rf_var,28,sensitivity,0.490400069501759,Plain RF,Sensitivity,28
rf_var,29,sensitivity,0.791484623154718,Plain RF,Sensitivity,29
rf_var,30,sensitivity,0.431116090863523,Plain RF,Sensitivity,30
rf_var,31,sensitivity,0.705376180503888,Plain RF,Sensitivity,31
rf_var,32,sensitivity,0.669548971628861,Plain RF,Sensitivity,32
rf_var,33,sensitivity,0.664680783371948,Plain RF,Sensitivity,33
rf_var,34,sensitivity,0.766039930219035,Plain RF,Sensitivity,34
rf_var,35,sensitivity,0.8514788218111,Plain RF,Sensitivity,35
rf_var,36,sensitivity,0.7259357696567,Plain RF,Sensitivity,36
rf_var,37,sensitivity,0.730748387231249,Plain RF,Sensitivity,37
rf_var,38,sensitivity,0.926811401172083,Plain RF,Sensitivity,38
rf_var,39,sensitivity,0.621291528049948,Plain RF,Sensitivity,39
rf_var,40,sensitivity,0.386844530281663,Plain RF,Sensitivity,40
rf_var,41,sensitivity,0.522703111471565,Plain RF,Sensitivity,41
rf_var,42,sensitivity,0.769615337474761,Plain RF,Sensitivity,42
rf_var,43,sensitivity,0.867357695010541,Plain RF,Sensitivity,43
rf_var,44,sensitivity,0.343776216859682,Plain RF,Sensitivity,44
rf_var,45,sensitivity,0.704967997561719,Plain RF,Sensitivity,45
rf_var,46,sensitivity,0.483807388520098,Plain RF,Sensitivity,46
rf_var,47,sensitivity,0.570358897098861,Plain RF,Sensitivity,47
rf_var,48,sensitivity,0.915024630541872,Plain RF,Sensitivity,48
rf_var,49,sensitivity,0.444010573491471,Plain RF,Sensitivity,49
rf_var,50,sensitivity,0.859511343804538,Plain RF,Sensitivity,50
rf_var,52,sensitivity,0.866680770044426,Plain RF,Sensitivity,52
rf_var,53,sensitivity,0.773248150847431,Plain RF,Sensitivity,53
rf_var,54,sensitivity,0.931676480775892,Plain RF,Sensitivity,54
rf_var,55,sensitivity,0.853987153376155,Plain RF,Sensitivity,55
mf_var,1,tss,0.762862917777224,Plain MF RF,TSS,1
mf_var,2,tss,0.636286992679569,Plain MF RF,TSS,2
mf_var,3,tss,0.506187433860095,Plain MF RF,TSS,3
mf_var,4,tss,0.450083417653081,Plain MF RF,TSS,4
mf_var,5,tss,0.378924082494688,Plain MF RF,TSS,5
mf_var,6,tss,0.55901914230055,Plain MF RF,TSS,6
mf_var,7,tss,0.402354556992477,Plain MF RF,TSS,7
mf_var,9,tss,0.823548097311169,Plain MF RF,TSS,9
mf_var,10,tss,0.519240942819192,Plain MF RF,TSS,10
mf_var,11,tss,0.5987337077019,Plain MF RF,TSS,11
mf_var,12,tss,0.616821141408714,Plain MF RF,TSS,12
mf_var,13,tss,0.598627383193662,Plain MF RF,TSS,13
mf_var,14,tss,0.799708971608864,Plain MF RF,TSS,14
mf_var,15,tss,0.556670137820803,Plain MF RF,TSS,15
mf_var,16,tss,0.579963399623123,Plain MF RF,TSS,16
mf_var,17,tss,0.918862496313256,Plain MF RF,TSS,17
mf_var,18,tss,0.412675365866649,Plain MF RF,TSS,18
mf_var,19,tss,0.766003453227281,Plain MF RF,TSS,19
mf_var,20,tss,0.577178718379264,Plain MF RF,TSS,20
mf_var,21,tss,0.625723682501151,Plain MF RF,TSS,21
mf_var,22,tss,0.724714051855374,Plain MF RF,TSS,22
mf_var,23,tss,0.565103310634619,Plain MF RF,TSS,23
mf_var,24,tss,0.625352298285342,Plain MF RF,TSS,24
mf_var,25,tss,0.635261307191977,Plain MF RF,TSS,25
mf_var,26,tss,0.586033773895814,Plain MF RF,TSS,26
mf_var,27,tss,0.726981871832841,Plain MF RF,TSS,27
mf_var,28,tss,0.489839537910874,Plain MF RF,TSS,28
mf_var,29,tss,0.785340062257544,Plain MF RF,TSS,29
mf_var,30,tss,0.411864759054616,Plain MF RF,TSS,30
mf_var,31,tss,0.692560681028426,Plain MF RF,TSS,31
mf_var,32,tss,0.662029959599893,Plain MF RF,TSS,32
mf_var,33,tss,0.652148766218546,Plain MF RF,TSS,33
mf_var,34,tss,0.773982763948983,Plain MF RF,TSS,34
mf_var,35,tss,0.8476988167611,Plain MF RF,TSS,35
mf_var,36,tss,0.719459179286484,Plain MF RF,TSS,36
mf_var,37,tss,0.727525761489246,Plain MF RF,TSS,37
mf_var,38,tss,0.92493418602826,Plain MF RF,TSS,38
mf_var,39,tss,0.620542137305876,Plain MF RF,TSS,39
mf_var,40,tss,0.373253486445194,Plain MF RF,TSS,40
mf_var,41,tss,0.517288527178562,Plain MF RF,TSS,41
mf_var,42,tss,0.763881683768228,Plain MF RF,TSS,42
mf_var,43,tss,0.872476192701766,Plain MF RF,TSS,43
mf_var,44,tss,0.330702254894508,Plain MF RF,TSS,44
mf_var,45,tss,0.704042564046979,Plain MF RF,TSS,45
mf_var,46,tss,0.476429019661572,Plain MF RF,TSS,46
mf_var,47,tss,0.556139304867698,Plain MF RF,TSS,47
mf_var,48,tss,0.908139682849639,Plain MF RF,TSS,48
mf_var,49,tss,0.435427476864587,Plain MF RF,TSS,49
mf_var,50,tss,0.852190297172636,Plain MF RF,TSS,50
mf_var,52,tss,0.862565723242454,Plain MF RF,TSS,52
mf_var,53,tss,0.76824495652482,Plain MF RF,TSS,53
mf_var,54,tss,0.929349411298169,Plain MF RF,TSS,54
mf_var,55,tss,0.845448920346109,Plain MF RF,TSS,55
rf_var,1,tss,0.76253718623236,Plain RF,TSS,1
rf_var,2,tss,0.638619178326301,Plain RF,TSS,2
rf_var,3,tss,0.506669626149344,Plain RF,TSS,3
rf_var,4,tss,0.455242064828368,Plain RF,TSS,4
rf_var,5,tss,0.379205687863993,Plain RF,TSS,5
rf_var,6,tss,0.555825999567711,Plain RF,TSS,6
rf_var,7,tss,0.402510907469699,Plain RF,TSS,7
rf_var,9,tss,0.821830209067064,Plain RF,TSS,9
rf_var,10,tss,0.52042499427596,Plain RF,TSS,10
rf_var,11,tss,0.595468558262878,Plain RF,TSS,11
rf_var,12,tss,0.619016233285938,Plain RF,TSS,12
rf_var,13,tss,0.593345222994625,Plain RF,TSS,13
rf_var,14,tss,0.801004932124259,Plain RF,TSS,14
rf_var,15,tss,0.560216290992413,Plain RF,TSS,15
rf_var,16,tss,0.581702699813791,Plain RF,TSS,16
rf_var,17,tss,0.919469217866252,Plain RF,TSS,17
rf_var,18,tss,0.412945009194466,Plain RF,TSS,18
rf_var,19,tss,0.7651469753453,Plain RF,TSS,19
rf_var,20,tss,0.578814132947161,Plain RF,TSS,20
rf_var,21,tss,0.626581976752298,Plain RF,TSS,21
rf_var,22,tss,0.720059435479094,Plain RF,TSS,22
rf_var,23,tss,0.562997983279514,Plain RF,TSS,23
rf_var,24,tss,0.625863106333093,Plain RF,TSS,24
rf_var,25,tss,0.634825324138685,Plain RF,TSS,25
rf_var,26,tss,0.58663649503693,Plain RF,TSS,26
rf_var,27,tss,0.730951676989213,Plain RF,TSS,27
rf_var,28,tss,0.483840916863521,Plain RF,TSS,28
rf_var,29,tss,0.785565078526194,Plain RF,TSS,29
rf_var,30,tss,0.413151787943787,Plain RF,TSS,30
rf_var,31,tss,0.693063378922786,Plain RF,TSS,31
rf_var,32,tss,0.663723543289972,Plain RF,TSS,32
rf_var,33,tss,0.653398531303379,Plain RF,TSS,33
rf_var,34,tss,0.764492790401652,Plain RF,TSS,34
rf_var,35,tss,0.847836548661163,Plain RF,TSS,35
rf_var,36,tss,0.716245884615971,Plain RF,TSS,36
rf_var,37,tss,0.726214182778179,Plain RF,TSS,37
rf_var,38,tss,0.924644671444946,Plain RF,TSS,38
rf_var,39,tss,0.616689722488094,Plain RF,TSS,39
rf_var,40,tss,0.370162163647392,Plain RF,TSS,40
rf_var,41,tss,0.51460221103464,Plain RF,TSS,41
rf_var,42,tss,0.758552085966669,Plain RF,TSS,42
rf_var,43,tss,0.865840840252593,Plain RF,TSS,43
rf_var,44,tss,0.329879609465219,Plain RF,TSS,44
rf_var,45,tss,0.70096021597297,Plain RF,TSS,45
rf_var,46,tss,0.474913863136458,Plain RF,TSS,46
rf_var,47,tss,0.557610315963572,Plain RF,TSS,47
rf_var,48,tss,0.914316604639776,Plain RF,TSS,48
rf_var,49,tss,0.433612302739081,Plain RF,TSS,49
rf_var,50,tss,0.858303664432476,Plain RF,TSS,50
rf_var,52,tss,0.86444361784524,Plain RF,TSS,52
rf_var,53,tss,0.769443647815354,Plain RF,TSS,53
rf_var,54,tss,0.930571272186648,Plain RF,TSS,54
rf_var,55,tss,0.852658146251764,Plain RF,TSS,55
