Species,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
pinuSyl,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,2774640,1762647.11066899,0.223872034763003,0.207342732435638
pinuSyl,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,3094762,1982006.21345455,0.249701102141979,0.233146261389841
pinuYun,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,3739268,2749794.62142571,0.301703116686916,0.323462323792556
pinuYun,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,5898869,4199979.73809207,0.475950683991581,0.494049699341017
pinuYun,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,6339602,4488726.56656354,0.511511258875963,0.52801540696055
querVar,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,5381363,3795509.31553335,0.43419567389223,0.44647125774876
querVar,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,6686864,4653667.53939364,0.539530119173469,0.547417652475369
querVar,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,6928344,4815286.19046811,0.55901395093347,0.566429088470418
robiPse,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,2796474,1817610.47042806,0.2256337126769,0.213808152046466
robiPse,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,3464848,2235207.63155524,0.279561518577012,0.262930710907731
robiPse,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,3675094,2363554.16440933,0.296525232723994,0.278028299449153
saliMat,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,1533609,995946.949911069,0.123739356226701,0.117154682128702
saliMat,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,2354928,1516718.64087437,0.190007540827051,0.178413810360261
saliMat,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,2664145,1712998.01964899,0.214956737469971,0.20150243795314
