Species,PopulationID,source_zone,method,ssp,zone_name,reference_abundance,start_period,start_suitable_area_km2,start_weighted_area_km2,start_mean_dual_suitability,start_max_dual_suitability,end_period,end_suitable_area_km2,end_weighted_area_km2,end_mean_dual_suitability,end_max_dual_suitability,suitable_area_change_km2,suitable_area_percent_change,weighted_area_change_km2,mean_dual_suitability_change,within_species_gain_rank,within_species_loss_rank,within_species_absolute_change_rank
lariGme,lariGme-Zone12,12,mf_var,SSP245,One year one ripe grain fields and cold-tolerant economic crop fields,27,2011-2040,687529.386053926,576720.463644728,0.0696010514688635,0.989748597145081,2071-2100,665389.60517749,535568.447180939,0.0652492177841681,0.946377277374268,-22139.7808764359,-3.22019412195705,-41152.0164637889,-0.0043518336846954,,8,8
lariGme,lariGme-Zone5,5,mf_var,SSP585,Grass and forb meadows,313,2011-2040,707944.743190264,686685.556953339,0.0828427167560618,0.999993562698364,2071-2100,190919.620358119,569420.169649736,0.0675816786282868,0.983948230743408,-517025.122832145,-73.031847161155,-117265.387303603,-0.015261038127775,,1,1
lariGme,lariGme-Zone7,7,mf_var,SSP585,Deciduous scrubs in temperate zone,47,2011-2040,901063.119536924,934465.075687479,0.105964182738458,0.996502697467804,2071-2100,393028.573989724,747137.85956508,0.0856138736939156,0.95249342918396,-508034.5455472,-56.3816823185805,-187327.216122399,-0.0203503090445424,,2,2
lariGme,lariGme-Zone3,3,mf_var,SSP585,Broadleaf deciduous forests in temperate zone,354,2011-2040,985769.279341816,853139.63246846,0.0999161008774694,0.998743116855621,2071-2100,576590.276605275,658801.562759587,0.0767344028219359,0.991776645183563,-409179.002736541,-41.5085975300168,-194338.069708873,-0.0231816980555335,,3,3
lariGme,lariGme-Zone2,2,mf_var,SSP585,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,53291,2011-2040,436114.158125413,405831.255096648,0.0503364814116758,0.998945295810699,2071-2100,83869.0767848334,235643.248811136,0.0288448067607971,0.924440920352936,-352245.08134058,-80.7690084758232,-170188.006285512,-0.0214916746508787,,4,4
lariGme,lariGme-Zone4,4,mf_var,SSP585,"Grass, Carex and forb swamp meadows",439,2011-2040,265430.654904907,361769.46113713,0.0455068294182774,0.997207641601562,2071-2100,16864.0096622453,184977.453416101,0.0230811215953093,0.921789467334747,-248566.645242662,-93.6465478456936,-176792.007721029,-0.0224257078229681,,5,5
lariGme,lariGme-Zone6,6,mf_var,SSP585,Cold-temperate and temperate marshes,446,2011-2040,164853.866629313,280922.275671648,0.0356933031282349,0.949869513511658,2071-2100,610.388203227864,245010.920128478,0.030385322932758,0.45221808552742,-164243.478426085,-99.629739832187,-35911.35554317,-0.0053079801954769,,6,6
lariGme,lariGme-Zone12,12,mf_var,SSP585,One year one ripe grain fields and cold-tolerant economic crop fields,27,2011-2040,684651.002275556,574065.234252003,0.0692936643059734,0.988612294197083,2071-2100,603412.868564043,484207.002280034,0.059455235097451,0.876193463802338,-81238.133711513,-11.865626931313,-89858.231971969,-0.0098384292085224,,7,7
lariGme,lariGme-Zone9,9,mf_var,SSP585,Needleleaf and deciduous broadleaf mixed forests in temperate zone,10,2011-2040,47177.0355178703,97988.9234986945,0.0124203498471911,0.999646008014679,2071-2100,3403.46490564527,58003.2769665608,0.0076496009211478,0.795128703117371,-43773.570612225,-92.7857592824881,-39985.6465321337,-0.0047707489260433,,8,8
lariGme,lariGme-Zone5,5,rf_var,SSP245,Grass and forb meadows,313,2011-2040,708615.524859179,695841.883073457,0.0838934496657109,1,2071-2100,461683.864642111,636971.80889772,0.0762132175859546,0.999979615211487,-246931.660217068,-34.8470576150784,-58870.0741757371,-0.00768023207975629,,1,1
