method,method_label,niche,zone,probability_threshold,sampling,n_test,presence,absence,n_variables,variables,TP,TN,FP,FN,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tss,auc
rf_var,Plain RF,soil,25,0.5,all presence + equal modeled-zone absence,5582,2791,2791,9,"T_CEC_CLAY,T_REF_BULK_DENSITY,T_CEC_SOIL,T_TEB,T_CLAY,T_SILT,T_OC,T_PH_H2O,T_GRAVEL",2468,2122,669,323,0.822285919025439,0.822285919025439,0.884270870655679,0.760300967395199,0.786738922537456,0.832658569500675,0.644571838050878,0.855463015751223
rf_var,Plain RF,soil,26,0.5,all presence + equal modeled-zone absence,4296,2148,2148,9,"T_CEC_SOIL,T_CLAY,T_OC,T_SAND,T_CEC_CLAY,T_TEB,T_BS,T_PH_H2O,T_SILT",1823,1769,379,325,0.836126629422719,0.836126629422719,0.848696461824953,0.823556797020484,0.827883742052679,0.83816091954023,0.672253258845438,0.863024349878108
rf_var,Plain RF,soil,27,0.5,all presence + equal modeled-zone absence,5750,2875,2875,9,"T_BS,T_TEB,T_CEC_SOIL,T_SILT,T_CLAY,T_PH_H2O,T_OC,T_GRAVEL,T_CEC_CLAY",2521,2251,624,354,0.829913043478261,0.829913043478261,0.876869565217391,0.782956521739131,0.801589825119237,0.837541528239203,0.659826086956522,0.857833920604915
rf_var,Plain RF,soil,28,0.5,all presence + equal modeled-zone absence,4366,2183,2183,9,"T_GRAVEL,T_SAND,T_CEC_CLAY,T_OC,T_TEB,T_PH_H2O,T_CEC_SOIL,T_BS,T_SILT",1750,1565,618,433,0.75927622537792,0.75927622537792,0.801649106733852,0.716903344021988,0.73902027027027,0.769061744671501,0.518552450755841,0.79583280960254
rf_var,Plain RF,soil,29,0.5,all presence + equal modeled-zone absence,5278,2639,2639,9,"T_PH_H2O,T_CACO3,T_REF_BULK_DENSITY,T_CLAY,T_CEC_SOIL,T_ESP,T_CEC_CLAY,T_TEB,T_OC",2401,2312,327,238,0.892951875710496,0.892951875710496,0.909814323607427,0.876089427813566,0.880131964809384,0.894727035587852,0.785903751420993,0.926268188959125
rf_var,Plain RF,soil,30,0.5,all presence + equal modeled-zone absence,5756,2878,2878,9,"T_CLAY,T_PH_H2O,T_REF_BULK_DENSITY,T_OC,T_TEB,T_CEC_CLAY,T_SAND,T_SILT,T_BS",2626,2241,637,252,0.845552466990966,0.845552466990966,0.912439193884642,0.77866574009729,0.804780876494024,0.855235303696466,0.691104933981932,0.861675051829773
rf_var,Plain RF,soil,31,0.5,all presence + equal modeled-zone absence,5882,2941,2941,9,"T_BS,T_CEC_SOIL,T_SILT,T_TEB,T_PH_H2O,T_CEC_CLAY,T_OC,T_CLAY,T_GRAVEL",2745,2469,472,196,0.886433185991159,0.886433185991159,0.933356001360081,0.839510370622237,0.853279452906435,0.891523221825268,0.772866371982319,0.9045754305952
rf_var,Plain RF,soil,32,0.5,all presence + equal modeled-zone absence,4450,2225,2225,9,"T_CEC_CLAY,T_REF_BULK_DENSITY,T_OC,T_SAND,T_CLAY,T_TEB,T_CACO3,T_ESP,T_CASO4",1891,1856,369,334,0.842022471910113,0.842022471910113,0.849887640449438,0.834157303370787,0.836725663716814,0.843255295429209,0.684044943820225,0.903526120439338
rf_var,Plain RF,soil,33,0.5,all presence + equal modeled-zone absence,5846,2923,2923,9,"T_GRAVEL,T_TEB,T_CEC_SOIL,T_SAND,T_CEC_CLAY,T_CLAY,T_BS,T_REF_BULK_DENSITY,T_PH_H2O",2539,2360,563,384,0.83800889497092,0.83800889497092,0.868628121792679,0.807389668149162,0.818504190844616,0.842821576763486,0.676017789941841,0.890277178099209
rf_var,Plain RF,soil,34,0.5,all presence + equal modeled-zone absence,1898,949,949,9,"T_CEC_SOIL,T_CEC_CLAY,T_TEB,T_PH_H2O,T_CLAY,T_OC,T_SAND,T_BS,T_GRAVEL",861,797,152,88,0.873551106427819,0.873551106427819,0.9072708113804,0.839831401475237,0.84995064165844,0.877675840978593,0.747102212855638,0.900300466022134
