method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
mf_var,7,220966,254893,91866,12009833,163027,129100,0.976429635207078,0.701177278496239,0.415747219029172,0.986607337963305,0.36041005441499,0.386105968364579,0.402354556992477
mf_var,9,30500,74199,25239,12314366,48960,5261,0.99562516046296,0.911774048655585,0.827508196721312,0.996039900589857,0.340152832248413,0.482124948662356,0.823548097311169
mf_var,10,146264,158881,76925,12165606,81956,69339,0.987792712274644,0.759620471409596,0.52593256030192,0.993308382517272,0.484167395723844,0.504186534270593,0.519240942819192
mf_var,11,147057,187583,89229,12148415,98354,57828,0.98739840304358,0.79936685385095,0.606764723882576,0.991968983819324,0.475677433456123,0.533283528568013,0.5987337077019
mf_var,12,374213,343612,234228,11910229,109384,139985,0.979879578751549,0.808410570704357,0.625921600799545,0.990899540609169,0.681664202647172,0.652604743495978,0.616821141408714
mf_var,13,618971,544155,379204,11609904,164951,239767,0.967345192679,0.799313691596831,0.612636133195255,0.985991249998408,0.696867620439029,0.652042856921778,0.598627383193662
mf_var,14,32665,90437,26292,12297016,64145,6373,0.99431023156207,0.899854485804432,0.804898209092301,0.994810762516563,0.290721717880956,0.427157966564312,0.799708971608864
mf_var,15,235591,252855,133460,12038840,119395,102131,0.982126100527795,0.778335068910402,0.566490230951097,0.990179906869706,0.527812382590813,0.546467777400163,0.556670137820803
mf_var,16,911178,705726,541483,11318405,164243,369695,0.956919033718886,0.789981699811562,0.594266981863039,0.985696417760085,0.767270867163744,0.669777550182324,0.579963399623123
mf_var,17,1641,10168,1509,12383526,8659,132,0.99929069522196,0.959431248156628,0.919561243144424,0.999301253168832,0.148406766325728,0.255567787280887,0.918862496313256
mf_var,18,112964,164291,47690,12164261,116601,65274,0.985325354737109,0.706337682933325,0.422169894833752,0.990505471032897,0.290277617154926,0.344015437052533,0.412675365866649
mf_var,19,691356,582894,532555,11652131,50339,158801,0.983125469084365,0.88300172661364,0.770305023750427,0.995698429476854,0.913639529657193,0.835872081616637,0.766003453227281
mf_var,20,379965,414440,225290,11824711,189150,154675,0.972258364769685,0.788589359189632,0.592923032384562,0.984255685994702,0.543601003764116,0.567191797634708,0.577178718379264
mf_var,21,599210,516294,381774,11660096,134520,217436,0.971602312312598,0.812861841250575,0.63712888636705,0.9885947961341,0.739450778045067,0.684487012148769,0.625723682501151
mf_var,22,41980,100247,30660,12282259,69587,11320,0.993471991619053,0.862357025927687,0.730347784659362,0.994366267196013,0.3058445639271,0.431141766331287,0.724714051855374
mf_var,23,326806,326775,188426,11928671,138349,138380,0.977672027992002,0.78255165531731,0.576568361657987,0.988534948976632,0.57662305867952,0.576595708871586,0.565103310634619
mf_var,24,845397,693586,539920,11394763,153666,305477,0.962953893333665,0.812676149142671,0.638658523746831,0.986693774538511,0.778447085148778,0.701658172962274,0.625352298285342
mf_var,25,237357,301076,153662,12009055,147414,83695,0.98135289296461,0.817630653595989,0.647387690272459,0.987873616919518,0.510376117658,0.570774822494164,0.635261307191977
mf_var,26,40896,108993,24247,12268184,84746,16649,0.991818910480105,0.793016886947907,0.59289417057903,0.993139603316784,0.222463827952254,0.323532747566533,0.586033773895814
mf_var,27,859115,722313,631337,11443735,90976,227778,0.974281226797923,0.863490935916421,0.734869022191441,0.9921128496414,0.874049061833305,0.798439132227329,0.726981871832841
