zoneID,method,scenario,period,ssp,normal_assigned_area_km2,future_assigned_area_km2,area_change_km2,percent_change,change_direction,rank_gain,rank_loss,rank_absolute_change,zone_name,baseline_definition
4,mf_var,2041-2070SSP245,2041-2070,SSP245,59865.7633857223,4657.75815216244,-55208.0052335599,-92.2196629780665,loss,,12,21,"Grass, Carex and forb swamp meadows",normal-period assigned map on the same common-valid cells
18,mf_var,2041-2070SSP245,2041-2070,SSP245,115838.608673571,168641.270446486,52802.6617729145,45.5829557843796,gain,10,,22,Subalpine broadleaf deciduous scrubs,normal-period assigned map on the same common-valid cells
36,mf_var,2041-2070SSP245,2041-2070,SSP245,100690.348914117,47991.2983607824,-52699.050553335,-52.3377375504816,loss,,13,23,Broadleaf evergreen and deciduous mixed forests in subtropical zone,normal-period assigned map on the same common-valid cells
35,mf_var,2041-2070SSP245,2041-2070,SSP245,48263.3999115138,457.500039054243,-47805.8998724596,-99.052076646293,loss,,14,24,Steppe shrub deserts,normal-period assigned map on the same common-valid cells
29,mf_var,2041-2070SSP245,2041-2070,SSP245,125597.185184876,78002.0377770874,-47595.1474077888,-37.8950749077138,loss,,15,25,Dwarf semi-arboreous deserts,normal-period assigned map on the same common-valid cells
45,mf_var,2041-2070SSP245,2041-2070,SSP245,46253.2545285078,92701.2603325623,46448.0058040545,100.4210542102,gain,11,,26,Subalpine needleleaf evergreen scrubs,normal-period assigned map on the same common-valid cells
19,mf_var,2041-2070SSP245,2041-2070,SSP245,387321.382399717,342034.448142506,-45286.9342572109,-11.6923403445035,loss,,16,27,No vegetation,normal-period assigned map on the same common-valid cells
9,mf_var,2041-2070SSP245,2041-2070,SSP245,45391.9571038683,2236.69370248833,-43155.2634013799,-95.0724889491541,loss,,17,28,Needleleaf and deciduous broadleaf mixed forests in temperate zone,normal-period assigned map on the same common-valid cells
14,mf_var,2041-2070SSP245,2041-2070,SSP245,57379.1058545783,14320.5494490206,-43058.5564055577,-75.0422227120188,loss,,18,29,Microphyllous deciduous woodlands in temperate zone,normal-period assigned map on the same common-valid cells
44,mf_var,2041-2070SSP245,2041-2070,SSP245,274742.074732926,234330.152966842,-40411.9217660841,-14.7090400352287,loss,,19,30,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
16,mf_var,2041-2070SSP245,2041-2070,SSP245,502190.587346812,465950.284073341,-36240.3032734708,-7.21644415219661,loss,,20,31,Kobresia spp. and forb high-cold meadows,normal-period assigned map on the same common-valid cells
41,mf_var,2041-2070SSP245,2041-2070,SSP245,100305.136265782,65592.887531601,-34712.2487341806,-34.60665129072,loss,,21,32,Temperate grasslands,normal-period assigned map on the same common-valid cells
38,mf_var,2041-2070SSP245,2041-2070,SSP245,35331.6927714881,869.994519302623,-34461.6982521855,-97.5376370305,loss,,22,33,Annual herb deserts,normal-period assigned map on the same common-valid cells
10,mf_var,2041-2070SSP245,2041-2070,SSP245,118380.956323074,152765.77201566,34384.8156925855,29.0459012670464,gain,12,,34,Needleleaf forests on mountains in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
32,mf_var,2041-2070SSP245,2041-2070,SSP245,73044.9499715959,40744.1474630904,-32300.8025085055,-44.2204457954532,loss,,23,35,Succulent halophytic dwarf semi-shrub deserts,normal-period assigned map on the same common-valid cells
5,mf_var,2041-2070SSP245,2041-2070,SSP245,106859.24957289,136930.79034489,30071.5407719999,28.1412614183556,gain,13,,36,Grass and forb meadows,normal-period assigned map on the same common-valid cells
28,mf_var,2041-2070SSP245,2041-2070,SSP245,77051.2998985898,51602.9379170375,-25448.3619815523,-33.0278165521488,loss,,24,37,Broadleaf deciduous forests in subtropical zone,normal-period assigned map on the same common-valid cells
3,mf_var,2041-2070SSP245,2041-2070,SSP245,285858.714718927,265453.674592321,-20405.0401266061,-7.13815569578471,loss,,25,38,Broadleaf deciduous forests in temperate zone,normal-period assigned map on the same common-valid cells
54,mf_var,2041-2070SSP245,2041-2070,SSP245,19375.4010813883,177.117520918801,-19198.2835604695,-99.0858639768292,loss,,26,39,Tropical mangroves,normal-period assigned map on the same common-valid cells
31,mf_var,2041-2070SSP245,2041-2070,SSP245,524871.316887382,542470.227135962,17598.9102485802,3.35299523566007,gain,14,,40,Grass and Carex spp. high-cold steppes,normal-period assigned map on the same common-valid cells
49,mf_var,2041-2070SSP245,2041-2070,SSP245,152314.528027564,135727.053176908,-16587.4748506557,-10.8902775496595,loss,,27,41,Broadleaf evergreen forests in subtropical zone,normal-period assigned map on the same common-valid cells
43,mf_var,2041-2070SSP245,2041-2070,SSP245,17170.5106824451,917.709715288,-16252.8009671571,-94.6553149626106,loss,,28,42,High-cold marshes,normal-period assigned map on the same common-valid cells
40,mf_var,2041-2070SSP245,2041-2070,SSP245,258095.741330652,243434.193287853,-14661.5480427981,-5.6806625197333,loss,,29,43,Subtropical and tropical grasslands,normal-period assigned map on the same common-valid cells
24,mf_var,2041-2070SSP245,2041-2070,SSP245,448414.155928078,461480.924109652,13066.7681815734,2.91399546799079,gain,15,,44,Semi-shrub and dwarf semi-shrub deserts,normal-period assigned map on the same common-valid cells
55,mf_var,2041-2070SSP245,2041-2070,SSP245,17353.6329701236,6952.61560335732,-10401.0173667663,-59.9356767811841,loss,,30,45,Tropical monsoon forests,normal-period assigned map on the same common-valid cells
25,mf_var,2041-2070SSP245,2041-2070,SSP245,198513.317492665,208275.680837434,9762.36334476882,4.91773724205155,gain,16,,46,Temperate tufted low grass and nano-semi-shrub desert steppes,normal-period assigned map on the same common-valid cells
48,mf_var,2041-2070SSP245,2041-2070,SSP245,7836.15797316012,471.65633998838,-7364.50163317174,-93.9810256301128,loss,,31,47,Subtropical and tropical marshes,normal-period assigned map on the same common-valid cells
34,mf_var,2041-2070SSP245,2041-2070,SSP245,17547.3354933682,12010.0316881223,-5537.30380524585,-31.5563796414483,loss,,32,48,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",normal-period assigned map on the same common-valid cells
17,mf_var,2041-2070SSP245,2041-2070,SSP245,5921.18003716102,540.116752464404,-5381.06328469662,-90.8782244573774,loss,,33,49,Alpine tundra,normal-period assigned map on the same common-valid cells
1,mf_var,2041-2070SSP245,2041-2070,SSP245,29367.9552454078,32189.5195373302,2821.56429192241,9.60762936453877,gain,17,,50,One year one ripe fields with cold-tolerant crops of short growth duration,normal-period assigned map on the same common-valid cells
