source_zone,method,scenario,period,ssp,source_area_km2,novel_area_km2,novel_share_of_source,rank_by_novel_area,rank_by_novel_share,zone_name
14,mf_var,2041-2070SSP245,2041-2070,SSP245,57379.1058545783,7769.5603200827,0.135407483340258,11,2,Microphyllous deciduous woodlands in temperate zone
22,mf_var,2041-2070SSP245,2041-2070,SSP245,68865.4099821475,7708.73398506114,0.111939128614199,12,3,Alpine cushion vegetation
11,mf_var,2041-2070SSP245,2041-2070,SSP245,112618.233713769,7180.22113728466,0.0637571812352693,13,16,Temperate grass and forb meadow steppes
36,mf_var,2041-2070SSP245,2041-2070,SSP245,100690.348914117,7013.20099580038,0.0696511738357586,14,14,Broadleaf evergreen and deciduous mixed forests in subtropical zone
25,mf_var,2041-2070SSP245,2041-2070,SSP245,198513.317492665,6238.57842294266,0.0314264982407197,15,26,Temperate tufted low grass and nano-semi-shrub desert steppes
6,mf_var,2041-2070SSP245,2041-2070,SSP245,60927.1604043911,6058.12602646016,0.099432272672001,16,6,Cold-temperate and temperate marshes
31,mf_var,2041-2070SSP245,2041-2070,SSP245,524871.316887382,5968.37456076047,0.0113711196796853,17,39,Grass and Carex spp. high-cold steppes
5,mf_var,2041-2070SSP245,2041-2070,SSP245,106859.24957289,5236.72540412807,0.0490058223790542,18,20,Grass and forb meadows
32,mf_var,2041-2070SSP245,2041-2070,SSP245,73044.9499715959,4508.53919085324,0.0617228048291692,19,17,Succulent halophytic dwarf semi-shrub deserts
23,mf_var,2041-2070SSP245,2041-2070,SSP245,212618.618755636,4314.87838123654,0.0202939818087881,20,30,Shrub deserts
12,mf_var,2041-2070SSP245,2041-2070,SSP245,212435.092758768,3911.7281761296,0.0184137569990453,21,31,One year one ripe grain fields and cold-tolerant economic crop fields
4,mf_var,2041-2070SSP245,2041-2070,SSP245,59865.7633857223,3266.62416515704,0.0545658149234612,22,19,"Grass, Carex and forb swamp meadows"
49,mf_var,2041-2070SSP245,2041-2070,SSP245,152314.528027564,3203.85868166518,0.0210344917399172,23,29,Broadleaf evergreen forests in subtropical zone
35,mf_var,2041-2070SSP245,2041-2070,SSP245,48263.3999115138,2913.58959418454,0.0603685111187011,24,18,Steppe shrub deserts
47,mf_var,2041-2070SSP245,2041-2070,SSP245,264618.071817924,2871.92234287599,0.0108530846859623,25,40,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations
