method,zone,sensitivity,specificity,precision,balanced_accuracy,f1,tss
multiclass_rf,14,0.942415429358641,0.992108837915174,0.240173514129231,0.967262133636907,0.382792730618818,0.934524267273815
multiclass_rf,15,0.59119352803395,0.991935384251006,0.582803999505813,0.791564456142478,0.586968787476375,0.583128912284957
multiclass_rf,16,0.443241878286837,0.991571327754462,0.806887316624695,0.71740660302065,0.572174861993948,0.4348132060413
multiclass_rf,17,1,0.999374270119879,0.16851036408549,0.99968713505994,0.288419117647059,0.999374270119879
multiclass_rf,18,0.561171013261097,0.985345750446239,0.260791041337546,0.773258381853668,0.356095204390592,0.546516763707336
multiclass_rf,19,0.76920591686829,0.996802831885068,0.934265377407463,0.883004374376679,0.843738850947347,0.766008748753358
multiclass_rf,20,0.602020847583408,0.983172007025537,0.530354567028058,0.792596427304472,0.563919883533526,0.585192854608944
multiclass_rf,21,0.612954299987628,0.989800786365587,0.753233332032125,0.801377543176607,0.675891947697597,0.602755086353215
multiclass_rf,22,0.899356376638856,0.989390279402905,0.223810738501878,0.94437332802088,0.358425050232518,0.888746656041761
multiclass_rf,23,0.603075840117525,0.988511551697519,0.587404645006663,0.795793695907522,0.595137096664588,0.591587391815044
