Species,method,scenario,area_metric,area_value,period,ssp,method_label,area_metric_label
pinuSyl,rf_var,2011-2040SSP585,suitable_area_km2,2183704.06953644,2011-2040,SSP585,Plain RF,Area with dual suitability >= 0.4
pinuSyl,rf_var,2041-2070SSP245,suitable_area_km2,2108715.65382377,2041-2070,SSP245,Plain RF,Area with dual suitability >= 0.4
pinuSyl,rf_var,2041-2070SSP585,suitable_area_km2,2023314.4597166,2041-2070,SSP585,Plain RF,Area with dual suitability >= 0.4
pinuSyl,rf_var,2071-2100SSP245,suitable_area_km2,2018109.62685905,2071-2100,SSP245,Plain RF,Area with dual suitability >= 0.4
pinuSyl,rf_var,2071-2100SSP585,suitable_area_km2,1771981.25749677,2071-2100,SSP585,Plain RF,Area with dual suitability >= 0.4
pinuYun,mf_var,2011-2040SSP245,suitable_area_km2,4893790.30559452,2011-2040,SSP245,Plain MF RF,Area with dual suitability >= 0.4
pinuYun,mf_var,2011-2040SSP585,suitable_area_km2,4902270.41608545,2011-2040,SSP585,Plain MF RF,Area with dual suitability >= 0.4
pinuYun,mf_var,2041-2070SSP245,suitable_area_km2,4876075.34312934,2041-2070,SSP245,Plain MF RF,Area with dual suitability >= 0.4
pinuYun,mf_var,2041-2070SSP585,suitable_area_km2,4774370.01518607,2041-2070,SSP585,Plain MF RF,Area with dual suitability >= 0.4
pinuYun,mf_var,2071-2100SSP245,suitable_area_km2,4762370.80887006,2071-2100,SSP245,Plain MF RF,Area with dual suitability >= 0.4
pinuYun,mf_var,2071-2100SSP585,suitable_area_km2,4556999.26332719,2071-2100,SSP585,Plain MF RF,Area with dual suitability >= 0.4
pinuYun,rf_var,2011-2040SSP245,suitable_area_km2,4889675.22940532,2011-2040,SSP245,Plain RF,Area with dual suitability >= 0.4
pinuYun,rf_var,2011-2040SSP585,suitable_area_km2,4896334.64004868,2011-2040,SSP585,Plain RF,Area with dual suitability >= 0.4
pinuYun,rf_var,2041-2070SSP245,suitable_area_km2,4860695.30760246,2041-2070,SSP245,Plain RF,Area with dual suitability >= 0.4
pinuYun,rf_var,2041-2070SSP585,suitable_area_km2,4778999.20902774,2041-2070,SSP585,Plain RF,Area with dual suitability >= 0.4
pinuYun,rf_var,2071-2100SSP245,suitable_area_km2,4770680.22044618,2071-2100,SSP245,Plain RF,Area with dual suitability >= 0.4
pinuYun,rf_var,2071-2100SSP585,suitable_area_km2,4566138.1301114,2071-2100,SSP585,Plain RF,Area with dual suitability >= 0.4
querVar,mf_var,2011-2040SSP245,suitable_area_km2,5186723.31900267,2011-2040,SSP245,Plain MF RF,Area with dual suitability >= 0.4
querVar,mf_var,2011-2040SSP585,suitable_area_km2,5187158.87618437,2011-2040,SSP585,Plain MF RF,Area with dual suitability >= 0.4
querVar,mf_var,2041-2070SSP245,suitable_area_km2,5091053.58200681,2041-2070,SSP245,Plain MF RF,Area with dual suitability >= 0.4
querVar,mf_var,2041-2070SSP585,suitable_area_km2,4986317.58013377,2041-2070,SSP585,Plain MF RF,Area with dual suitability >= 0.4
querVar,mf_var,2071-2100SSP245,suitable_area_km2,4988185.19557311,2071-2100,SSP245,Plain MF RF,Area with dual suitability >= 0.4
querVar,mf_var,2071-2100SSP585,suitable_area_km2,4722414.72749874,2071-2100,SSP585,Plain MF RF,Area with dual suitability >= 0.4
querVar,rf_var,2011-2040SSP245,suitable_area_km2,5201078.75369929,2011-2040,SSP245,Plain RF,Area with dual suitability >= 0.4
querVar,rf_var,2011-2040SSP585,suitable_area_km2,5197476.43308264,2011-2040,SSP585,Plain RF,Area with dual suitability >= 0.4
querVar,rf_var,2041-2070SSP245,suitable_area_km2,5082620.60258627,2041-2070,SSP245,Plain RF,Area with dual suitability >= 0.4
querVar,rf_var,2041-2070SSP585,suitable_area_km2,4986250.02331268,2041-2070,SSP585,Plain RF,Area with dual suitability >= 0.4
querVar,rf_var,2071-2100SSP245,suitable_area_km2,4989164.00530041,2071-2100,SSP245,Plain RF,Area with dual suitability >= 0.4
querVar,rf_var,2071-2100SSP585,suitable_area_km2,4738170.3436616,2071-2100,SSP585,Plain RF,Area with dual suitability >= 0.4
robiPse,mf_var,2011-2040SSP245,suitable_area_km2,2590158.05831455,2011-2040,SSP245,Plain MF RF,Area with dual suitability >= 0.4
robiPse,mf_var,2011-2040SSP585,suitable_area_km2,2580088.50640626,2011-2040,SSP585,Plain MF RF,Area with dual suitability >= 0.4
robiPse,mf_var,2041-2070SSP245,suitable_area_km2,2483590.80060673,2041-2070,SSP245,Plain MF RF,Area with dual suitability >= 0.4
robiPse,mf_var,2041-2070SSP585,suitable_area_km2,2402665.87579576,2041-2070,SSP585,Plain MF RF,Area with dual suitability >= 0.4
robiPse,mf_var,2071-2100SSP245,suitable_area_km2,2404685.21263869,2071-2100,SSP245,Plain MF RF,Area with dual suitability >= 0.4
robiPse,mf_var,2071-2100SSP585,suitable_area_km2,2165976.37434895,2071-2100,SSP585,Plain MF RF,Area with dual suitability >= 0.4
robiPse,rf_var,2011-2040SSP245,suitable_area_km2,2604784.62595938,2011-2040,SSP245,Plain RF,Area with dual suitability >= 0.4
robiPse,rf_var,2011-2040SSP585,suitable_area_km2,2594390.00863525,2011-2040,SSP585,Plain RF,Area with dual suitability >= 0.4
robiPse,rf_var,2041-2070SSP245,suitable_area_km2,2485566.94256569,2041-2070,SSP245,Plain RF,Area with dual suitability >= 0.4
robiPse,rf_var,2041-2070SSP585,suitable_area_km2,2397953.91976102,2041-2070,SSP585,Plain RF,Area with dual suitability >= 0.4
robiPse,rf_var,2071-2100SSP245,suitable_area_km2,2395943.43715589,2071-2100,SSP245,Plain RF,Area with dual suitability >= 0.4
robiPse,rf_var,2071-2100SSP585,suitable_area_km2,2180068.38930768,2071-2100,SSP585,Plain RF,Area with dual suitability >= 0.4
saliMat,mf_var,2011-2040SSP245,suitable_area_km2,1846458.63995657,2011-2040,SSP245,Plain MF RF,Area with dual suitability >= 0.4
saliMat,mf_var,2011-2040SSP585,suitable_area_km2,1847603.424646,2011-2040,SSP585,Plain MF RF,Area with dual suitability >= 0.4
saliMat,mf_var,2041-2070SSP245,suitable_area_km2,1831882.63551363,2041-2070,SSP245,Plain MF RF,Area with dual suitability >= 0.4
saliMat,mf_var,2041-2070SSP585,suitable_area_km2,1771532.15831576,2041-2070,SSP585,Plain MF RF,Area with dual suitability >= 0.4
saliMat,mf_var,2071-2100SSP245,suitable_area_km2,1784456.72300074,2071-2100,SSP245,Plain MF RF,Area with dual suitability >= 0.4
saliMat,mf_var,2071-2100SSP585,suitable_area_km2,1591676.32266419,2071-2100,SSP585,Plain MF RF,Area with dual suitability >= 0.4
saliMat,rf_var,2011-2040SSP245,suitable_area_km2,1869730.88861071,2011-2040,SSP245,Plain RF,Area with dual suitability >= 0.4
saliMat,rf_var,2011-2040SSP585,suitable_area_km2,1869046.09188963,2011-2040,SSP585,Plain RF,Area with dual suitability >= 0.4
saliMat,rf_var,2041-2070SSP245,suitable_area_km2,1840214.43485624,2041-2070,SSP245,Plain RF,Area with dual suitability >= 0.4
saliMat,rf_var,2041-2070SSP585,suitable_area_km2,1763610.84462451,2041-2070,SSP585,Plain RF,Area with dual suitability >= 0.4
