zone,method,rank_cutoff,true_positive,false_positive,false_negative,f1,multiclass_f1,method_label,rank_label,common_reference_area_km2,common_valid_pixels,zone_name,category_label,zone_color,reference_area_km2
13,rf_var,5,559377,52347,59108,0.909401573228614,0.644214278935943,Plain RF,Top-5,391289.503816282,12374320,Temperate tufted grass steppes,grassland meadow steppe,#DDA15E,392778.754746233
14,rf_var,5,31285,16803,1380,0.774831894790287,0.382792730618818,Plain RF,Top-5,20690.6930687741,12374320,Microphyllous deciduous woodlands in temperate zone,forest,#8AC926,20908.5541959762
15,rf_var,5,217669,39712,13729,0.890664287950178,0.586968787476375,Plain RF,Top-5,148431.114581419,12374320,Grass and forb halophytic meadows,grassland meadow steppe,#FF70A6,155782.486712609
16,rf_var,5,851362,26878,59468,0.951736935949963,0.572174861993948,Plain RF,Top-5,649431.576281616,12374320,Kobresia spp. and forb high-cold meadows,grassland meadow steppe,#90BE6D,653919.837866197
17,rf_var,5,1501,936,68,0.749375936095856,0.288419117647059,Plain RF,Top-5,904.361409082834,12374320,Alpine tundra,alpine vegetation,#A2D2FF,1166.83977455947
18,rf_var,5,93795,24205,19167,0.812211532633074,0.356095204390592,Plain RF,Top-5,80363.7376257943,12374320,Subalpine broadleaf deciduous scrubs,scrub,#9D4EDD,80420.5115528885
19,rf_var,5,617140,5557,73090,0.940097964319418,0.843738850947347,Plain RF,Top-5,460385.16593109,12374320,No vegetation,no vegetation,#E0E0E0,535460.455323413
20,rf_var,5,367337,50671,11316,0.922191496759601,0.563919883533526,Plain RF,Top-5,267812.092475597,12374320,Alpine sparse vegetation,alpine vegetation,#B8C0FF,290572.043152328
21,rf_var,5,562918,10908,35200,0.960656823192917,0.675891947697597,Plain RF,Top-5,451458.462632792,12374320,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,cropland,#F3722C,460573.91798181
22,rf_var,5,38832,18260,3118,0.784152177863937,0.358425050232518,Plain RF,Top-5,28460.0813534031,12374320,Alpine cushion vegetation,alpine vegetation,#CDB4DB,29216.0608445185
23,rf_var,5,316235,17935,10505,0.956968422326792,0.595137096664588,Plain RF,Top-5,212996.351713572,12374320,Shrub deserts,desert,#B5651D,215639.769601697
24,rf_var,5,787494,36055,57582,0.943883736609484,0.643343676268322,Plain RF,Top-5,546662.583146442,12374320,Semi-shrub and dwarf semi-shrub deserts,desert,#9C6644,547719.084772723
25,rf_var,5,215391,37586,21810,0.87882769116525,0.594951956932733,Plain RF,Top-5,156714.339600441,12374320,Temperate tufted low grass and nano-semi-shrub desert steppes,desert,#BC6C25,157239.724775428
