original_zone,predicted_zone,n,method,original_category,predicted_category
13,36,15,rf_var,grassland_meadow_steppe,forest
13,37,241,rf_var,grassland_meadow_steppe,forest
13,38,12,rf_var,grassland_meadow_steppe,desert
13,39,12,rf_var,grassland_meadow_steppe,forest
13,40,10,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
13,41,1068,rf_var,grassland_meadow_steppe,grassland_meadow_steppe
13,42,831,rf_var,grassland_meadow_steppe,desert
13,43,8,rf_var,grassland_meadow_steppe,wetland
13,44,6,rf_var,grassland_meadow_steppe,scrub
13,45,5,rf_var,grassland_meadow_steppe,scrub
13,46,43,rf_var,grassland_meadow_steppe,scrub
13,47,6,rf_var,grassland_meadow_steppe,cropland
13,48,12,rf_var,grassland_meadow_steppe,wetland
13,49,12,rf_var,grassland_meadow_steppe,forest
13,50,15,rf_var,grassland_meadow_steppe,scrub
13,52,8,rf_var,grassland_meadow_steppe,forest
13,53,13,rf_var,grassland_meadow_steppe,cropland
13,54,10,rf_var,grassland_meadow_steppe,wetland
13,55,12,rf_var,grassland_meadow_steppe,forest
14,2,41,rf_var,forest,forest
14,3,37,rf_var,forest,forest
14,4,327,rf_var,forest,wetland
14,5,139,rf_var,forest,grassland_meadow_steppe
14,7,456,rf_var,forest,scrub
14,11,774,rf_var,forest,grassland_meadow_steppe
14,12,437,rf_var,forest,cropland
