niche_type,method,zoneID,metric,value,method_label
climate,rf_var,45,Test balanced accuracy,0.98431412753742,Plain RF
climate,rf_var,45,Test precision,0.975825946817083,Plain RF
climate,rf_var,45,Test recall,0.993233545212221,Plain RF
climate,rf_var,45,Test specificity,0.97539470986262,Plain RF
climate,rf_var,45,Train accuracy,1,Plain RF
climate,rf_var,46,OOB accuracy,0.960473882606354,Plain RF
climate,rf_var,46,Test AUC,0.987838851854862,Plain RF
climate,rf_var,46,Test F1,0.96812952806957,Plain RF
climate,rf_var,46,Test TSS,0.934989929384358,Plain RF
climate,rf_var,46,Test accuracy,0.967494964692179,Plain RF
climate,rf_var,46,Test balanced accuracy,0.967494964692179,Plain RF
climate,rf_var,46,Test precision,0.949591598599767,Plain RF
climate,rf_var,46,Test recall,0.987405663811303,Plain RF
climate,rf_var,46,Test specificity,0.947584265573054,Plain RF
climate,rf_var,46,Train accuracy,1,Plain RF
climate,rf_var,47,OOB accuracy,0.95030193236715,Plain RF
climate,rf_var,47,Test AUC,0.983177066973637,Plain RF
climate,rf_var,47,Test F1,0.954571697435594,Plain RF
climate,rf_var,47,Test TSS,0.906772150127345,Plain RF
climate,rf_var,47,Test accuracy,0.953386075063673,Plain RF
climate,rf_var,47,Test balanced accuracy,0.953386075063673,Plain RF
climate,rf_var,47,Test precision,0.930894453113917,Plain RF
climate,rf_var,47,Test recall,0.979484835197642,Plain RF
climate,rf_var,47,Test specificity,0.927287314929704,Plain RF
climate,rf_var,47,Train accuracy,1,Plain RF
climate,rf_var,48,OOB accuracy,0.995967741935484,Plain RF
climate,rf_var,48,Test AUC,1,Plain RF
climate,rf_var,48,Test F1,0.998054474708171,Plain RF
climate,rf_var,48,Test TSS,0.996101364522417,Plain RF
